Generation,Min,Max,Avg,Std
0,0,0,0.0,0.0
1,0,3,0.85,0.743660072231
2,1,6,1.91,0.922173541371
3,2,6,3.17,1.04499770431
4,3,11,4.68,1.26235310176
5,5,15,6.26,1.49490717931
6,6,15,7.78,1.61169964869
7,8,15,9.6,1.58910431541
8,9,19,11.4,1.55699788832
9,11,20,13.04,1.46969384567
10,13,20,14.56,1.61633079923
11,15,22,16.58,1.68882243357
12,17,27,18.62,1.91633066884
13,18,29,20.35,2.03690694412
14,20,30,22.27,2.18745274119
15,22,31,24.22,2.18155722345
16,24,32,26.43,2.09980759099
17,26,35,28.39,1.84716545064
18,28,36,30.19,1.69189989436
19,30,38,31.86,1.63311686877
20,32,38,33.44,1.57197681634
21,33,39,35.07,1.68927095625
22,35,44,36.72,1.71787983023
23,37,44,38.56,1.65340175811
24,38,45,40.37,1.65544708478
25,40,49,42.11,1.82516084804
26,42,50,43.72,1.79268998261
27,43,50,45.34,1.76509363932
28,45,51,46.81,1.51554237383
29,47,54,48.37,1.42598539384
30,48,56,49.68,1.45560567421
31,49,57,50.99,1.48728618699
32,51,57,52.29,1.49270955587
33,52,59,53.81,1.45432132112
34,53,59,55.18,1.49328463124
35,55,62,56.76,1.43632527759
36,56,64,58.05,1.47966007562
37,58,64,59.16,1.41221224833
38,59,64,60.24,1.30360804669
39,60,66,61.57,1.32767739784
40,61,66,62.77,1.30155307385
41,63,68,64.11,1.07209791502
42,64,68,65.14,0.953674446284
43,65,69,66.04,1.08171207357
44,66,71,67.11,1.14499349387
45,67,72,68.09,1.21518174224
46,68,73,69.28,1.34149020108
47,69,75,70.45,1.40974243654
48,70,78,71.85,1.64761842204
49,71,80,73.21,1.69547824069
50,73,80,74.57,1.81606189544
51,74,81,75.98,1.65132331385
52,75,81,77.06,1.46211414663
53,77,83,78.36,1.35973853696
54,78,84,79.44,1.35825199608
55,79,85,80.38,1.33922938795
56,80,85,81.43,1.37256671748
57,81,88,82.52,1.42474523684
58,82,88,83.72,1.49125396356
59,83,88,84.71,1.40198272299
60,84,90,85.76,1.43632527759
61,85,90,86.82,1.12258719938
62,86,91,87.63,1.04112410112
63,87,91,88.22,1.06912595284
64,88,92,89.06,1.14433166062
65,88,96,89.73,1.30929080965
66,89,96,90.44,1.25786415094
67,90,96,91.32,1.17103079862
68,91,96,91.93,1.2247861079
69,91,96,92.59,1.24798828018
70,92,97,93.24,1.2153895331
71,93,97,94.0,1.15470053838
72,93,97,94.69,0.895499409223
73,94,97,95.08,0.87247471093
74,95,97,95.58,0.713222874484
75,95,98,95.82,0.716049769728
76,95,98,96.27,0.61717832991
77,96,98,96.5,0.627645914461
78,96,99,96.79,0.700576962801
79,96,99,97.1,0.659047368816
80,97,99,97.37,0.562372319964
81,97,99,97.65,0.641573192719
82,97,99,97.86,0.681946115944
83,97,100,98.21,0.591095541681
84,98,100,98.39,0.584220105195
85,98,100,98.57,0.639681107422
86,98,100,98.9,0.674199862463
87,99,100,99.29,0.456048021572
88,99,100,99.43,0.497569851955
89,99,100,99.55,0.5
90,99,100,99.66,0.47609522857
91,99,100,99.7,0.460566186472
92,99,100,99.83,0.377525168068
93,99,100,99.99,0.100000000005
94,100,100,100.0,0.0
95,100,100,100.0,0.0
96,100,100,100.0,0.0
97,100,100,100.0,0.0
98,100,100,100.0,0.0
99,100,100,100.0,0.0
100,100,100,100.0,0.0
