Generation,Min,Max,Avg,Std
0,0,0,0.0,0.0
1,0,2,1.05,0.609271795845
2,1,5,2.34,0.855404683011
3,3,8,3.91,1.08334498828
4,4,8,5.66,1.01722538051
5,6,11,7.28,1.16410975219
6,7,12,9.04,1.26267313044
7,9,14,10.77,1.30155307385
8,11,16,12.32,1.20503992138
9,12,17,13.82,1.11355287257
10,14,20,15.54,1.41006483123
11,16,22,17.12,1.36537263201
12,17,22,18.58,1.49193115989
13,18,27,20.08,1.6798268309
14,20,28,21.64,1.66678787438
15,21,28,23.27,1.70474678946
16,23,29,24.76,1.67645609859
17,25,30,26.43,1.40169450122
18,26,33,27.65,1.35866095696
19,27,36,28.85,1.55942879986
20,28,37,30.39,1.728518955
21,30,37,31.81,1.7678098074
22,31,37,33.22,1.49463687695
23,33,38,34.47,1.25894777292
24,34,42,35.74,1.43983725231
25,36,42,37.24,1.49152487899
26,37,44,38.57,1.60966148647
27,38,45,39.95,1.57233018868
28,40,45,41.39,1.25444663642
29,41,48,42.5,1.3295400587
30,42,49,43.51,1.50080786326
31,43,52,44.76,1.85385211837
32,44,53,45.94,1.88465359998
33,45,53,47.44,2.03166846894
34,47,53,49.07,1.84913302098
35,49,54,50.71,1.55891052348
36,50,55,52.14,1.23925686432
37,52,59,53.4,1.06363204696
38,53,59,54.17,1.1811225614
39,54,60,55.06,1.20453687819
40,55,60,55.96,1.31748152767
41,55,60,57.07,1.31237312999
42,57,60,58.3,1.02985730109
43,58,62,59.25,0.808727645157
44,59,62,59.94,0.693694544603
45,60,63,60.55,0.796139676086
46,60,64,61.12,0.819953189105
47,61,64,61.87,0.812217316792
48,62,65,62.67,0.841535393303
49,62,66,63.41,0.853927350067
50,63,66,64.13,0.799684281136
51,64,67,64.76,0.753711355945
52,65,68,65.37,0.630135467238
53,65,68,65.9,0.771984194112
54,66,70,66.54,0.809289500085
55,66,70,67.2,0.953462589246
56,67,70,67.87,0.883690608137
57,68,71,68.58,0.818720361481
58,68,71,69.26,0.811781928222
59,69,73,70.04,0.83991341545
60,70,73,70.67,0.829445476195
61,70,73,71.31,0.800189371526
62,71,75,71.99,0.926544574473
63,72,76,72.79,1.0079983165
64,72,76,73.6,0.994936676327
65,73,78,74.46,0.968389269756
66,74,78,75.29,0.820137953411
67,75,79,75.93,0.890522488784
68,76,79,76.72,0.841835416627
69,76,79,77.5,0.870388279778
70,77,81,78.17,0.817176711475
71,78,83,78.77,0.885973755227
72,79,84,79.53,0.915136463854
73,79,84,80.09,1.08334498828
74,80,84,80.8,1.11916274622
75,80,84,81.61,1.1272116308
76,81,85,82.45,0.936089005524
77,82,85,83.18,0.783413922353
78,83,85,83.75,0.641573192719
79,84,85,84.24,0.429234695991
80,84,86,84.56,0.591522603033
81,84,87,84.99,0.577262785248
82,85,87,85.46,0.593227774063
83,85,88,86.0,0.61954691819
84,86,89,86.45,0.641573192719
85,86,90,86.91,0.792579218869
86,87,90,87.53,0.771395167894
87,87,90,88.22,0.773030243636
88,88,92,88.83,0.766139476185
89,89,92,89.46,0.65782009146
90,89,92,89.99,0.745288229784
91,90,94,90.52,0.73140241656
92,90,94,91.07,0.768771813356
93,91,94,91.6,0.778498944162
94,91,95,92.27,0.802206552913
95,92,96,92.8,0.852802865422
96,93,96,93.47,0.688359196814
97,93,96,93.95,0.729950876997
98,94,96,94.49,0.674124947205
99,94,96,94.82,0.68725776265
100,95,97,95.34,0.496858819855
101,95,97,95.73,0.489382212074
102,96,97,96.05,0.219042913558
103,96,98,96.09,0.320825954263
104,96,98,96.17,0.427702341505
105,96,98,96.33,0.551490175925
106,96,98,96.62,0.615949624071
107,97,98,97.15,0.358870281283
108,97,99,97.33,0.493493012651
109,97,99,97.59,0.570220584643
110,98,99,98.08,0.272659924344
111,98,99,98.23,0.422952584681
112,98,99,98.45,0.5
113,98,99,98.89,0.314466037736
114,99,99,99.0,0.0
115,99,99,99.0,0.0
116,99,99,99.0,0.0
117,99,99,99.0,0.0
118,99,99,99.0,0.0
119,99,100,99.01,0.0999999999995
120,99,100,99.03,0.171446607999
121,99,100,99.06,0.238683256576
122,99,100,99.12,0.32659863237
123,99,100,99.22,0.416333199894
124,99,100,99.35,0.479372485441
125,99,100,99.59,0.494311070423
126,100,100,100.0,0.0
127,100,100,100.0,0.0
128,100,100,100.0,0.0
129,100,100,100.0,0.0
130,100,100,100.0,0.0
131,100,100,100.0,0.0
132,100,100,100.0,0.0
133,100,100,100.0,0.0
134,100,100,100.0,0.0
135,100,100,100.0,0.0
136,100,100,100.0,0.0
137,100,100,100.0,0.0
138,100,100,100.0,0.0
139,100,100,100.0,0.0
140,100,100,100.0,0.0
141,100,100,100.0,0.0
142,100,100,100.0,0.0
143,100,100,100.0,0.0
144,100,100,100.0,0.0
145,100,100,100.0,0
