Generation,Min,Max,Avg,Std
0,0.0,0.0,0.0,0.0
1,0.26202575505,3.00075675374,0.917581512698,0.514488606378
2,1.19017542732,3.74880848014,2.00902131133,0.657672166088
3,2.21867575195,6.52783565058,3.18710379994,0.761363353498
4,3.41532912829,7.99666535372,4.37144260963,0.831427131583
5,4.6458121207,8.62977877799,5.77727008881,0.92551755669
6,5.98459222725,9.64180937216,7.10236314634,0.89985756862
7,7.31663108567,11.2106570063,8.33965057693,0.772850801399
8,8.56850476128,11.9950157136,9.6279031154,0.806457380006
9,9.59489900431,14.0527456492,10.6636044943,0.942539829515
10,10.6251373117,15.8295811341,11.9970013443,1.11186557806
11,12.071199821,18.2376579484,13.5619237828,1.20082920151
12,13.675966988,20.0237261129,15.0465704712,1.21904894988
13,15.0912617407,21.0174492421,16.5785363128,1.36609443905
14,16.3164685088,21.7341810818,18.0753721178,1.42855822365
15,17.8125028323,26.145496051,19.6776246592,1.446469302
16,19.6787427256,26.5980243138,21.2441024982,1.40056664556
17,21.3386585842,27.3639543563,22.8642234312,1.47416231818
18,22.7154020196,28.3988474941,24.4579772843,1.58456741439
19,24.1182444685,29.5137459202,26.1426390187,1.35899315151
20,26.0850751205,32.0514248951,27.7090082873,1.19079401218
21,27.6913104374,33.5885041533,28.9876318441,1.14197161875
22,28.8018947084,35.8445398766,30.3826359149,1.34498714354
23,30.2150114654,36.4498066977,31.9774886389,1.41656083415
24,31.7973169136,37.0925985837,33.536150499,1.40722028388
25,33.0876862999,39.8176219091,34.863296061,1.3288914197
26,34.718088539,39.8635773706,36.2168264936,1.18669170215
27,36.1299866327,40.6513842909,37.5488817706,1.05454896447
28,37.4437567156,43.5817460224,38.7955136193,1.25503156324
29,38.5912556742,44.4436558587,39.9469141067,1.23872217967
30,39.6385850724,44.6434577232,41.0031151736,1.18783865262
31,40.7405973699,45.9213463843,42.0922127521,1.14222862623
32,41.9633276182,48.3778250677,43.246426492,1.10133138327
33,43.0948284043,48.3778250677,44.3772137899,1.03783146654
34,44.2836815779,48.6642845465,45.5295503206,1.10668159408
35,45.2517966325,51.0436754277,46.7101495704,1.26671434728
36,46.646605884,52.5982245647,48.0454742032,1.23932327421
37,47.7575754595,54.5608352569,49.1772826851,1.18764221222
38,48.9142374735,54.5608352569,50.2515557545,1.19890676636
39,49.8329397664,55.7727158674,51.1818274511,1.25382958847
40,51.0744488024,56.5520784704,52.4841496989,1.21905742286
41,52.1253300104,57.1454212946,53.6067105225,1.18883290726
42,53.1337114193,58.8714556308,54.5449351694,1.07693015804
43,54.308409289,58.8714556308,55.4832145155,1.08197882377
44,55.0757724611,59.3467461915,56.5202658411,1.19009370512
45,56.1800535194,59.8356374674,57.519252057,0.980356864198
46,57.2265342461,60.7281754979,58.4641584526,0.80593892897
47,58.2510104861,62.7532744722,59.4008205409,0.972249297079
48,59.2148685145,64.6595128998,60.4423123479,1.04013384712
49,60.0530180973,64.6595128998,61.3320950683,1.12151647188
50,60.8561882772,65.7240445412,62.2825700862,1.17130102507
51,61.9625947307,67.1343449516,63.2161862086,1.09899499958
52,62.8643622737,67.1343449516,64.0504436066,1.00203660141
53,63.8064333661,67.1343449516,64.8433019378,0.958316712203
54,64.4614340917,68.5064556989,65.708289946,0.90776793751
55,65.4729594646,69.2159861466,66.4577080795,0.798241875064
56,66.2848539269,69.9672385861,67.1816240143,0.726174851265
57,66.9011971652,71.028766451,67.8233630397,0.910501289082
58,67.648673901,71.2396506677,68.6546363976,0.81826900568
59,68.3997644164,71.2396506677,69.2704356702,0.703529894371
60,69.0625968849,72.156003922,69.9367439178,0.665260203491
61,69.6194230654,72.3558806537,70.4845058931,0.719973927496
62,70.0194230748,75.1108592308,71.0497735678,0.864736944384
63,70.6919360219,75.7749699279,71.6042319573,0.86807566557
64,71.0979040553,75.7749699279,72.0905032897,0.929816751647
65,71.7398380207,75.7749699279,72.6291393525,0.936536000887
66,72.177701874,76.1182468788,73.1621376299,0.966171654156
67,72.5813077754,76.3613523718,73.7250772565,0.913279964996
68,73.3227227309,76.520941363,74.3760026938,0.80753222123
69,74.0917988943,76.8649455599,74.930220455,0.713252084911
70,74.5729765769,76.903131675,75.429974611,0.616119620481
71,75.0607880042,77.1262614149,75.8023967486,0.530281035023
72,75.4804626801,77.5459194202,76.0695054815,0.45449287448
73,75.7784913006,77.7073993772,76.396771964,0.462050968875
74,76.0932232199,78.6196196345,76.6669301744,0.461794557729
75,76.3865539475,78.6196196345,76.9938284961,0.450300252265
76,76.7378164334,78.9606136661,77.3559488623,0.536759616166
77,76.9935496297,79.431900475,77.6544020704,0.550777576137
78,77.4294245865,80.0538399692,78.0437331764,0.59410928237
79,77.6249257703,80.072974628,78.3081493292,0.630065183674
80,77.9117442882,80.679181349,78.6839090387,0.597986793194
81,78.3070454219,80.841861387,79.048201077,0.623837484531
82,78.7666751829,82.1687835239,79.3959463161,0.592578679264
83,78.9264692327,82.3957529969,79.5921542901,0.668131053554
84,79.1337233818,82.5875854213,79.9313050446,0.730124396979
85,79.5027290166,82.8274420632,80.3441283075,0.741607936186
86,79.8462291619,82.8274420632,80.5872027046,0.677039888676
87,80.1776334434,82.9895287949,80.9621517402,0.661493710461
88,80.4725250956,83.1786977503,81.2666959505,0.608075604367
89,80.8813196518,83.1786977503,81.6402859987,0.587100120166
