Generation,Min,Max,Avg,Std
0,174,174,174.0,0.0
1,171,174,173.94,0.351567916623
2,171,174,173.85,0.421307488661
3,161,174,173.51,1.50993377338
4,161,174,173.08,2.07692079772
5,161,174,172.09,2.83406069095
6,161,174,170.64,3.16075940242
7,151,171,169.1,4.14608248833
8,151,171,167.17,5.2145086058
9,151,171,164.04,5.46611379318
10,148,161,159.97,3.09824143669
11,148,161,159.07,3.96674929886
12,148,161,157.34,4.80878362998
13,131,161,153.88,5.28635980614
14,131,151,150.39,2.80141035909
15,131,151,149.98,3.46404387963
16,131,151,148.85,4.96764531745
17,131,151,147.22,6.10504709237
18,131,148,144.26,7.00374185704
19,131,148,141.03,8.33901073269
20,131,148,134.91,7.09167822169
21,131,131,131.0,0.0
22,131,131,131.0,0.0
23,131,131,131.0,0.0
24,131,131,131.0,0.0
25,131,131,131.0,0.0
26,131,131,131.0,0.0
27,131,131,131.0,0.0
28,131,131,131.0,0.0
29,131,131,131.0,0.0
30,131,131,131.0,0.0
31,131,131,131.0,0.0
32,131,131,131.0,0.0
33,131,131,131.0,0.0
34,131,131,131.0,0.0
35,131,131,131.0,0.0
36,131,131,131.0,0.0
37,131,131,131.0,0.0
38,131,131,131.0,0.0
39,131,131,131.0,0.0
40,131,131,131.0,0.0
41,131,131,131.0,0.0
42,131,131,131.0,0.0
43,131,131,131.0,0.0
44,131,131,131.0,0.0
45,131,131,131.0,0.0
46,131,131,131.0,0.0
47,131,131,131.0,0.0
48,131,131,131.0,0.0
49,131,131,131.0,0.0
50,131,131,131.0,0.0
51,131,131,131.0,0.0
52,131,131,131.0,0.0
53,131,131,131.0,0.0
54,131,131,131.0,0.0
55,131,131,131.0,0.0
56,131,131,131.0,0.0
57,131,131,131.0,0.0
58,131,131,131.0,0.0
59,131,131,131.0,0.0
60,131,131,131.0,0.0
61,131,131,131.0,0.0
62,131,131,131.0,0.0
63,131,131,131.0,0.0
64,131,131,131.0,0.0
65,131,131,131.0,0.0
66,131,131,131.0,0.0
67,131,131,131.0,0.0
68,131,131,131.0,0.0
69,131,131,131.0,0.0
70,131,131,131.0,0.0
71,131,131,131.0,0.0
72,131,131,131.0,0.0
73,131,131,131.0,0.0
74,131,131,131.0,0.0
75,131,131,131.0,0.0
76,131,131,131.0,0.0
77,131,131,131.0,0.0
78,131,131,131.0,0.0
79,131,131,131.0,0.0
80,131,131,131.0,0.0
81,131,131,131.0,0.0
82,131,131,131.0,0.0
83,131,131,131.0,0.0
84,131,131,131.0,0.0
85,131,131,131.0,0.0
86,131,131,131.0,0.0
87,131,131,131.0,0.0
88,131,131,131.0,0.0
89,131,131,131.0,0.0
90,131,131,131.0,0.0
91,131,131,131.0,0.0
92,131,131,131.0,0.0
93,131,131,131.0,0.0
94,131,131,131.0,0.0
95,131,131,131.0,0.0
96,131,131,131.0,0.0
97,131,131,131.0,0.0
98,131,131,131.0,0.0
99,131,131,131.0,0.0
100,131,131,131.0,0.0
101,131,131,131.0,0.0
102,131,131,131.0,0.0
103,131,131,131.0,0.0
104,131,131,131.0,0.0
105,131,131,131.0,0.0
106,131,131,131.0,0.0
107,131,131,131.0,0.0
108,131,131,131.0,0.0
109,131,131,131.0,0.0
110,131,131,131.0,0.0
111,131,131,131.0,0.0
112,131,131,131.0,0.0
113,131,131,131.0,0.0
114,131,131,131.0,0.0
115,131,131,131.0,0.0
116,131,131,131.0,0.0
117,131,131,131.0,0.0
118,131,131,131.0,0.0
119,131,131,131.0,0.0
120,131,131,131.0,0.0
