Generation,Min,Max,Avg,Std
0,4650,4650,4650.0,0.0
1,3950,4669,4491.91,178.936707675
2,3607,4688,4385.26,242.273641934
3,3584,4621,4292.93,245.349688808
4,3584,4526,4208.62,243.387863545
5,3449,4510,4119.38,279.758509859
6,3158,4445,4071.2,304.535712192
7,3134,4437,4048.9,294.34767802
8,3134,4400,4032.14,284.194627434
9,3098,4347,3983.28,272.452723357
10,3098,4439,4072.53,298.602145865
11,2959,4414,4031.7,302.739261752
12,2959,4397,4016.4,302.650046266
13,2959,4381,4014.36,301.685786101
14,2959,4379,4010.21,259.552462341
15,2959,4411,4038.42,276.762969001
16,2959,4346,4031.38,247.773062509
17,2959,4427,4070.07,284.851450033
18,2959,4459,4116.06,259.237803547
19,2959,4313,4025.26,233.746846573
20,2959,4386,4063.22,273.382574279
21,2959,4344,3989.46,279.970107351
22,2959,4424,4013.12,283.980660887
23,2959,4332,3975.11,272.204242057
24,2915,4418,4026.48,301.166167094
25,2915,4461,4080.43,297.137666798
26,2915,4444,4094.1,299.333923871
27,2915,4461,4055.93,319.932671421
28,2915,4462,4074.18,293.549176098
29,2915,4423,4068.74,304.927632415
30,2915,4422,4079.68,286.876698252
31,2915,4468,4095.48,289.886027064
32,2915,4376,4075.43,265.459588319
33,2915,4452,4099.16,261.301664748
34,2915,4402,4089.02,257.680601764
35,2915,4418,4108.36,275.2347582
36,2915,4399,4059.2,268.913939897
37,2915,4425,4060.1,318.07004819
38,2915,4390,4055.82,277.869723853
39,2915,4458,4107.91,291.676141664
40,2915,4459,4075.24,308.322378839
41,2915,4418,4102.51,282.232639015
42,2915,4494,4071.84,304.092879219
43,2915,4460,4133.75,277.613581269
44,2915,4483,4131.12,276.182061165
45,2915,4362,4038.69,251.010913482
46,2915,4446,4105.96,286.946794773
47,2915,4522,4162.02,300.457865414
48,2915,4452,4038.19,332.217091461
49,2915,4467,4086.92,323.418629174
50,2915,4382,4023.89,282.05404221
51,2915,4457,4068.31,301.862123018
52,2915,4435,4057.21,287.825715188
53,2915,4490,4103.07,303.024993302
54,2915,4384,4016.57,301.765252767
55,2740,4404,4027.33,321.452827493
56,2740,4396,3992.43,311.820210274
57,2740,4374,4058.88,303.79303428
58,2740,4392,4084.37,276.85702305
59,2740,4405,4058.32,314.446182384
60,2740,4380,4050.49,310.257647738
61,2740,4389,4014.84,325.803737166
62,2740,4419,3995.66,329.019179693
63,2740,4358,4005.43,273.386367915
64,2740,4359,4032.15,304.269397347
65,2740,4456,4029.97,309.220311608
66,2740,4417,4066.69,284.761842545
67,2740,4472,4049.31,317.834551173
68,2740,4484,4039.34,317.532284845
69,2740,4395,4036.63,270.077155269
70,2740,4436,4047.61,321.131078527
71,2740,4402,4025.26,316.468378748
72,2740,4407,3953.36,361.667784386
73,2740,4344,3983.09,306.833357036
74,2695,4409,3967.49,354.649051026
