Generation,Min,Max,Avg,Std
0,4650,4650,4650.0,0.0
1,3744,4656,4455.19,184.242193207
2,3578,4650,4368.16,223.199811737
3,3430,4667,4312.49,278.536126268
4,3356,4618,4241.89,256.17666312
5,3356,4572,4172.78,292.69619441
6,3356,4539,4191.47,271.307438828
7,3336,4494,4172.44,277.867831382
8,3300,4504,4134.65,305.255460991
9,3300,4465,4132.47,292.909385616
10,3300,4473,4102.05,258.598451447
11,3300,4460,4125.7,269.229746807
12,3277,4428,4071.66,261.647315247
13,2746,4365,4022.74,265.396429988
14,2746,4407,4069.25,276.517826886
15,2746,4442,4103.58,267.692314708
16,2746,4415,4073.23,295.514953902
17,2746,4411,4001.87,302.689848765
18,2668,4450,4054.07,331.747782223
19,2668,4376,3978.1,318.597859314
20,2668,4328,3977.03,260.974686454
21,2668,4390,4033.29,287.33847619
22,2668,4335,3992.71,295.292913815
23,2668,4418,4019.26,299.346716985
24,2668,4302,3991.19,273.843046361
25,2668,4297,3948.76,306.979126721
26,2668,4277,3932.17,289.674043739
27,2668,4235,3879.46,294.094138024
28,2668,4358,3968.03,320.034482201
29,2668,4292,3981.13,263.010874876
30,2668,4358,3993.37,293.965766405
31,2668,4325,3963.19,300.127639345
32,2668,4327,3947.2,277.649331919
33,2668,4338,3987.05,310.488581257
34,2668,4325,3964.64,266.588720426
35,2668,4349,4016.96,297.460936065
36,2668,4330,4009.38,283.37542575
37,2668,4383,4036.71,307.717215553
38,2668,4313,3975.85,318.715330854
39,2668,4350,3973.99,299.806519932
40,2668,4421,4016.79,301.04160238
41,2668,4414,4054.01,287.770443551
42,2668,4396,4040.26,300.562288541
43,2668,4339,3989.44,316.308994817
44,2668,4377,4020.17,292.072395031
45,2668,4309,3939.05,296.406878933
46,2668,4337,3965.47,305.088675799
47,2668,4376,3984.6,301.311879097
48,2668,4286,3916.21,298.931609185
49,2668,4283,3933.5,279.22987525
50,2668,4321,3968.12,280.8849752
51,2668,4325,3922.7,295.144049747
52,2668,4234,3895.05,280.558151303
53,2668,4172,3832.41,280.186305082
54,2668,4264,3847.66,306.53746356
55,2668,4186,3784.93,325.80263763
56,2668,4276,3850.96,307.117057932
