Generation,pm
0,0.2
1,0.201
2,0.202
3,0.201
4,0.2
5,0.201
6,0.202
7,0.201
8,0.2
9,0.199
10,0.2
11,0.199
12,0.2
13,0.199
14,0.198
15,0.197
16,0.196
17,0.195
18,0.194
19,0.193
20,0.192
21,0.191
22,0.19
23,0.189
24,0.188
25,0.187
26,0.186
27,0.185
28,0.184
29,0.183
30,0.182
31,0.181
32,0.18
33,0.179
34,0.178
35,0.177
36,0.176
37,0.175
38,0.174
39,0.173
40,0.172
41,0.171
42,0.17
43,0.169
44,0.168
45,0.167
46,0.166
47,0.165
48,0.164
49,0.163
50,0.162
51,0.161
52,0.16
53,0.159
54,0.158
55,0.157
56,0.156
57,0.155
58,0.154
59,0.153
60,0.152
61,0.151
62,0.15
63,0.149
64,0.148
65,0.147
66,0.146
67,0.145
68,0.144
69,0.143
70,0.142
71,0.141
72,0.14
73,0.139
74,0.138
75,0.137
76,0.136
77,0.135
78,0.134
79,0.133
80,0.132
81,0.131
82,0.13
83,0.129
84,0.128
85,0.127
86,0.126
87,0.125
88,0.124
89,0.123
90,0.122
91,0.121
92,0.12
93,0.119
94,0.118
95,0.117
96,0.116
97,0.115
98,0.114
99,0.113
100,0.112
101,0.111
102,0.11
103,0.109
104,0.108
105,0.107
106,0.106
107,0.105
108,0.104
109,0.103
110,0.102
111,0.101
112,0.1
113,0.099
114,0.098
115,0.097
116,0.096
117,0.095
118,0.094
119,0.093
120,0.092
121,0.091
122,0.09
123,0.089
124,0.088
125,0.087
126,0.086
127,0.085
128,0.084
129,0.083
130,0.082
131,0.081
132,0.08
133,0.079
134,0.078
135,0.077
136,0.076
137,0.075
138,0.074
139,0.073
140,0.072
141,0.071
142,0.07
143,0.069
144,0.068
145,0.067
146,0.066
147,0.065
148,0.064
149,0.063
150,0.062
151,0.061
152,0.062
153,0.063
154,0.064
155,0.065
156,0.066
157,0.067
158,0.068
159,0.069
160,0.07
161,0.071
162,0.072
163,0.073
164,0.074
165,0.075
166,0.076
167,0.077
168,0.078
169,0.079
170,0.078
171,0.077
172,0.076
173,0.075
174,0.074
175,0.075
176,0.076
177,0.077
178,0.078
179,0.079
180,0.08
181,0.081
182,0.082
183,0.083
184,0.084
185,0.085
186,0.084
187,0.083
188,0.082
189,0.081
190,0.082
191,0.083
192,0.082
193,0.081
194,0.082
195,0.083
196,0.084
197,0.085
198,0.084
199,0.085
200,0.084
201,0.083
202,0.082
203,0.083
204,0.084
205,0.085
206,0.084
207,0.083
208,0.082
209,0.083
210,0.084
211,0.085
212,0.086
213,0.087
214,0.086
215,0.085
216,0.084
217,0.083
218,0.082
219,0.083
220,0.084
221,0.083
222,0.084
223,0.083
224,0.084
225,0.085
226,0.086
227,0.085
228,0.086
229,0.087
230,0.086
231,0.085
232,0.084
233,0.083
234,0.082
235,0.081
236,0.08
237,0.079
238,0.078
239,0.077
240,0.078
241,0.079
242,0.078
243,0.079
244,0.08
245,0.081
246,0.082
247,0.083
248,0.082
249,0.083
250,0.084
251,0.083
252,0.082
253,0.081
254,0.08
255,0.079
256,0.08
257,0.079
258,0.078
259,0.077
260,0.076
261,0.075
262,0.074
263,0.075
264,0.076
265,0.077
266,0.078
267,0.079
268,0.08
269,0.081
270,0.082
271,0.083
272,0.084
273,0.085
274,0.086
275,0.087
276,0.086
277,0.085
278,0.084
279,0.083
280,0.082
281,0.081
282,0.08
283,0.079
284,0.078
285,0.077
286,0.076
287,0.075
288,0.074
289,0.073
290,0.072
291,0.073
292,0.074
293,0.075
294,0.076
295,0.077
296,0.078
297,0.079
298,0.08
299,0.081
300,0.082
301,0.083
302,0.084
303,0.085
304,0.086
305,0.087
306,0.088
307,0.087
308,0.086
309,0.087
310,0.086
311,0.087
312,0.088
313,0.089
314,0.088
315,0.087
316,0.086
317,0.085
318,0.084
319,0.083
320,0.082
321,0.081
322,0.08
323,0.079
324,0.078
325,0.079
326,0.08
327,0.081
328,0.082
329,0.083
330,0.084
331,0.085
332,0.086
333,0.087
334,0.088
335,0.087
336,0.088
337,0.089
338,0.09
339,0.091
340,0.09
341,0.091
342,0.09
343,0.089
344,0.088
345,0.087
346,0.086
347,0.085
348,0.084
349,0.083
350,0.082
351,0.081
352,0.08
353,0.079
354,0.078
355,0.077
356,0.076
357,0.075
358,0.074
359,0.073
360,0.072
361,0.071
362,0.07
363,0.069
364,0.07
365,0.071
366,0.072
367,0.073
368,0.074
369,0.075
370,0.076
371,0.077
372,0.078
373,0.079
374,0.08
375,0.081
376,0.082
377,0.083
378,0.084
379,0.085
380,0.086
381,0.087
382,0.088
383,0.089
384,0.09
385,0.089
386,0.09
387,0.089
388,0.088
389,0.089
390,0.088
391,0.087
392,0.086
393,0.085
394,0.084
395,0.083
396,0.082
397,0.081
398,0.08
399,0.079
400,0.078
401,0.077
402,0.076
403,0.075
404,0.074
405,0.073
406,0.072
407,0.071
408,0.072
409,0.073
410,0.074
411,0.075
412,0.076
413,0.077
414,0.078
415,0.079
416,0.08
417,0.081
418,0.082
419,0.083
420,0.084
421,0.085
422,0.086
423,0.087
424,0.088
425,0.087
426,0.086
427,0.085
428,0.084
429,0.083
430,0.082
431,0.081
432,0.08
433,0.079
434,0.078
435,0.079
436,0.08
437,0.081
438,0.082
439,0.083
440,0.084
441,0.085
442,0.086
443,0.087
444,0.088
445,0.089
446,0.09
447,0.089
448,0.088
449,0.087
450,0.086
451,0.085
452,0.084
453,0.083
454,0.082
455,0.081
456,0.08
457,0.079
458,0.078
459,0.077
460,0.076
461,0.075
462,0.074
463,0.073
464,0.072
465,0.071
466,0.07
467,0.071
468,0.072
469,0.073
470,0.074
471,0.075
472,0.076
473,0.077
474,0.078
475,0.079
476,0.08
477,0.081
478,0.082
479,0.083
480,0.084
481,0.085
482,0.086
483,0.087
484,0.088
485,0.089
486,0.09
487,0.091
488,0.09
489,0.089
490,0.088
491,0.089
492,0.088
493,0.087
494,0.088
495,0.087
496,0.086
497,0.085
498,0.086
499,0.087
500,0.088
501,0.087
502,0.086
503,0.085
504,0.084
505,0.083
506,0.082
507,0.081
508,0.08
509,0.079
510,0.078
511,0.077
512,0.076
513,0.075
514,0.074
515,0.073
516,0.072
517,0.073
518,0.074
519,0.075
520,0.076
521,0.077
522,0.078
523,0.079
524,0.08
525,0.081
526,0.082
527,0.083
528,0.084
529,0.085
530,0.086
531,0.087
532,0.088
533,0.087
534,0.086
535,0.085
536,0.086
537,0.085
538,0.084
539,0.083
540,0.082
541,0.081
542,0.08
543,0.079
544,0.08
545,0.081
546,0.08
547,0.081
548,0.082
549,0.081
550,0.08
551,0.079
552,0.078
553,0.077
554,0.076
555,0.075
556,0.076
557,0.077
558,0.078
559,0.079
560,0.08
561,0.081
562,0.082
563,0.083
564,0.082
565,0.083
566,0.084
567,0.085
568,0.086
569,0.085
570,0.084
571,0.083
572,0.082
573,0.081
574,0.08
575,0.081
576,0.082
577,0.083
578,0.084
579,0.085
580,0.086
581,0.087
582,0.086
583,0.085
584,0.084
585,0.083
586,0.082
587,0.081
588,0.08
589,0.079
590,0.078
591,0.077
592,0.076
593,0.075
594,0.074
595,0.073
596,0.072
597,0.073
598,0.074
599,0.075
600,0.076
601,0.077
602,0.078
603,0.079
604,0.08
605,0.081
606,0.082
607,0.083
608,0.084
609,0.085
610,0.086
611,0.087
612,0.086
613,0.085
614,0.084
615,0.085
616,0.086
617,0.087
618,0.088
619,0.087
620,0.086
621,0.085
622,0.084
623,0.083
624,0.082
625,0.081
626,0.08
627,0.079
628,0.08
629,0.079
630,0.078
631,0.077
632,0.076
633,0.075
634,0.076
635,0.077
636,0.078
637,0.079
638,0.08
639,0.081
640,0.082
641,0.081
642,0.08
643,0.079
644,0.078
645,0.077
646,0.076
647,0.075
648,0.074
649,0.073
650,0.074
651,0.075
652,0.076
653,0.075
654,0.076
655,0.077
656,0.078
657,0.079
658,0.08
659,0.079
660,0.078
661,0.077
662,0.076
663,0.077
664,0.078
665,0.079
666,0.08
667,0.081
668,0.082
669,0.083
670,0.084
671,0.085
672,0.084
673,0.083
674,0.082
675,0.081
676,0.08
677,0.079
678,0.078
679,0.079
680,0.08
681,0.081
682,0.082
683,0.083
684,0.082
685,0.081
686,0.08
687,0.079
688,0.078
689,0.077
690,0.076
691,0.077
692,0.078
693,0.079
694,0.078
695,0.077
696,0.076
697,0.075
698,0.074
699,0.075
700,0.076
701,0.075
702,0.074
703,0.073
704,0.072
705,0.073
706,0.074
707,0.075
708,0.076
709,0.077
710,0.078
711,0.079
712,0.08
713,0.081
714,0.082
715,0.083
716,0.082
717,0.083
718,0.084
719,0.085
720,0.086
721,0.085
722,0.084
723,0.083
724,0.082
725,0.081
726,0.08
727,0.079
728,0.078
729,0.077
730,0.078
731,0.079
732,0.078
733,0.077
734,0.078
735,0.079
736,0.08
737,0.079
738,0.078
739,0.077
740,0.076
741,0.075
742,0.074
743,0.073
744,0.074
745,0.075
746,0.076
747,0.077
748,0.076
749,0.075
750,0.076
751,0.077
752,0.078
753,0.079
754,0.08
755,0.081
756,0.08
757,0.079
758,0.078
759,0.077
760,0.076
761,0.075
762,0.076
763,0.077
764,0.078
765,0.079
766,0.08
767,0.081
768,0.08
769,0.081
770,0.08
771,0.079
772,0.078
773,0.079
774,0.08
775,0.081
776,0.082
777,0.083
778,0.084
779,0.085
780,0.086
781,0.087
782,0.088
783,0.089
784,0.09
785,0.089
786,0.088
787,0.087
788,0.086
789,0.085
790,0.084
791,0.083
792,0.082
