Generation,Min,Max,Avg,Std
0,0,0,0.0,0.0
1,15,25,17.47,2.11991518794
2,27,40,30.13,2.66156709364
3,36,47,38.9,2.63043568999
4,41,54,45.07,2.97210940973
5,46,59,49.54,2.86187054744
6,50,60,53.13,2.61562901642
7,52,64,55.34,2.27955338528
8,53,64,56.54,2.65687596605
9,54,64,57.86,2.57815218458
10,55,66,58.82,2.60295092834
11,56,69,59.81,2.88743358837
12,56,69,59.85,2.64527404015
13,57,69,60.06,2.53787471732
14,57,70,60.54,2.88996871816
15,57,71,60.12,2.80432566301
16,57,71,60.92,3.24638104649
17,57,71,60.39,2.93324724392
18,57,71,60.28,2.8
19,57,71,60.63,2.82719477628
20,57,71,61.51,3.05668665933
21,58,71,61.29,2.79716667615
22,58,71,61.52,2.78335601515
23,58,71,60.99,2.78703709297
24,57,71,60.56,3.00275967346
25,57,71,60.29,2.69415753966
26,57,71,60.29,2.78268455513
27,57,71,60.14,2.69687435991
28,57,71,59.88,2.69034938214
29,56,71,59.71,3.1311243019
30,56,75,59.39,3.32391092516
31,56,75,59.27,3.03466504234
32,56,75,59.51,3.09608746255
33,57,76,60.06,3.11341184769
34,56,76,59.95,2.94863433549
35,57,76,60.21,2.98242325716
36,56,76,59.39,2.93324724392
37,56,76,59.27,3.05787607018
38,56,76,59.87,3.28342947098
39,56,76,60.5,3.68863939767
40,57,76,60.56,2.85090806019
41,57,76,60.08,2.82728409495
42,56,76,60.59,3.21641936559
43,56,76,60.09,3.33058978003
44,56,76,59.89,3.30868157086
45,56,76,60.13,3.27110088657
46,57,76,60.09,3.01543169096
47,57,76,60.6,3.31205328606
48,57,76,60.55,3.21101324516
49,56,76,60.04,3.41097456378
50,56,76,59.88,3.58244879851
51,56,76,59.64,3.23653387363
52,56,76,58.98,3.07147186117
53,56,76,59.53,2.99310655819
54,56,76,59.74,3.31394360577
55,56,76,60.09,3.62955043547
56,56,76,60.0,3.16547026841
57,56,76,59.85,3.56009022698
58,56,76,59.63,3.39237112035
59,55,76,59.97,3.37685227884
60,56,76,59.84,3.06403048749
61,56,76,59.52,3.26128189459
62,56,76,59.26,3.2086373331
63,55,76,59.09,3.2569893764
64,55,76,59.34,3.49955264096
65,56,76,59.82,2.98609572465
66,56,76,59.57,3.14387331073
67,56,76,59.54,3.2919246159
