Generation,Min,Max,Avg,Std
0,0,0,0.0,0.0
1,0,3,1.05,0.729950876997
2,1,5,2.08,0.81252816579
3,2,6,3.23,0.776615292878
4,3,9,4.31,1.03176812053
5,4,11,5.51,1.18487948499
6,5,13,6.62,1.37642488155
7,6,13,8.03,1.553458182
8,8,14,9.34,1.53227895237
9,9,15,10.7,1.49409612553
10,10,16,12.13,1.35329750662
11,12,18,13.36,1.19358554978
12,13,18,14.37,1.15167861679
13,14,20,15.51,1.01995246473
14,15,21,16.4,1.37068883368
15,16,21,17.47,1.44568322948
16,17,24,18.75,1.42400062422
17,19,24,20.07,1.24928262243
18,20,25,21.12,1.28141336111
19,21,26,22.26,1.24413776885
20,22,27,23.45,1.07661084385
21,23,27,24.35,0.891882585016
22,24,28,25.07,1.01757286985
23,25,28,26.02,0.963788819653
24,26,31,26.91,0.985705920453
25,27,32,27.75,0.891882585016
26,28,32,28.55,0.84536765058
27,28,32,29.37,1.03137644618
28,29,32,30.13,0.970837397572
29,30,33,31.07,0.843932593411
30,31,34,31.89,0.777135376842
31,32,35,32.62,0.735533888417
32,32,36,33.33,0.752839741756
33,33,36,33.98,0.840634680861
34,34,37,34.78,0.847813587287
35,34,39,35.59,0.853927350067
36,35,39,36.3,1.01005050379
37,36,40,37.2,1.07308673998
38,37,41,38.24,1.03592051487
39,38,41,39.14,0.816743966657
40,39,43,39.99,0.904478196576
41,40,44,40.85,0.891882585016
42,41,45,41.68,0.941522515113
43,41,46,42.43,1.0565333058
44,42,46,43.4,1.12815214964
45,43,47,44.37,0.928287224795
46,44,49,45.17,1.11060089296
47,45,50,46.21,1.0569156575
48,46,50,47.11,1.11821466651
49,47,52,48.03,1.14992314192
50,48,52,48.98,0.984526753975
51,49,54,49.91,1.01598337694
52,50,54,50.71,1.03762549442
53,50,54,51.58,1.12078615987
54,52,55,52.77,0.874498413233
55,53,56,53.68,0.750488056689
56,54,58,54.42,0.713222874484
57,54,58,54.96,0.920254685871
58,55,58,55.85,0.9142530207
59,56,59,56.68,0.851380340887
60,56,61,57.45,0.833333333333
61,57,61,58.19,0.906709000794
62,58,63,58.93,1.01757286985
63,59,63,59.84,0.928994242733
64,60,64,60.68,0.973175578748
65,60,65,61.54,1.00925014669
66,61,65,62.43,0.977060113118
67,62,65,63.22,0.905426959947
68,63,67,63.97,0.809726228831
69,64,67,64.67,0.739300788966
70,65,68,65.43,0.623690547458
71,65,68,65.95,0.657128740673
72,66,69,66.57,0.68541810583
73,66,70,67.19,0.734365664566
74,67,70,67.79,0.902241876682
75,68,72,68.63,0.860526031277
76,68,72,69.31,0.917781690993
77,69,73,69.92,0.837022138659
78,70,73,70.67,0.792069275615
79,70,73,71.37,0.705748402818
80,71,74,72.07,0.700000000001
81,72,75,72.73,0.789514618822
82,73,75,73.45,0.672324476737
83,73,76,73.99,0.771918768952
84,74,78,74.57,0.728288432151
