Generation,pm,pm0
0,0.01,0.01
1,0.009,0.01
2,0.008,0.01
3,0.007,0.01
4,0.006,0.01
5,0.005,0.01
6,0.004,0.01
7,0.003,0.01
8,0.002,0.01
9,0.001,0.011
10,0.001,0.012
11,0.001,0.013
12,0.001,0.014
13,0.001,0.015
14,0.001,0.016
15,0.001,0.017
16,0.001,0.018
17,0.001,0.019
18,0.001,0.02
19,0.001,0.021
20,0.001,0.022
21,0.001,0.023
22,0.001,0.024
23,0.001,0.025
24,0.001,0.026
25,0.001,0.027
26,0.001,0.028
27,0.001,0.029
28,0.001,0.03
29,0.001,0.031
30,0.001,0.032
31,0.001,0.033
32,0.001,0.034
33,0.001,0.035
34,0.001,0.036
35,0.001,0.037
36,0.001,0.038
37,0.001,0.039
38,0.001,0.04
39,0.001,0.041
40,0.001,0.042
41,0.001,0.043
42,0.001,0.044
43,0.001,0.045
44,0.001,0.046
45,0.001,0.047
46,0.001,0.048
47,0.001,0.049
48,0.001,0.05
49,0.002,0.05
50,0.003,0.05
51,0.004,0.05
52,0.003,0.05
53,0.004,0.05
54,0.005,0.05
55,0.004,0.05
56,0.003,0.05
57,0.002,0.05
58,0.001,0.051
59,0.001,0.052
60,0.001,0.053
61,0.001,0.054
62,0.001,0.055
63,0.002,0.055
64,0.001,0.056
65,0.002,0.056
66,0.001,0.057
67,0.001,0.058
68,0.002,0.058
69,0.003,0.058
70,0.002,0.058
71,0.001,0.059
72,0.002,0.059
73,0.003,0.059
74,0.004,0.059
75,0.005,0.059
76,0.006,0.059
77,0.007,0.059
78,0.008,0.059
79,0.009,0.059
80,0.01,0.059
81,0.011,0.059
82,0.012,0.059
83,0.013,0.059
84,0.014,0.059
85,0.013,0.059
86,0.012,0.059
87,0.011,0.059
88,0.012,0.059
89,0.013,0.059
90,0.014,0.059
91,0.015,0.059
92,0.016,0.059
93,0.017,0.059
94,0.018,0.059
95,0.019,0.059
96,0.02,0.059
97,0.021,0.059
98,0.022,0.059
99,0.023,0.059
100,0.024,0.059
101,0.025,0.059
102,0.026,0.059
103,0.027,0.059
104,0.028,0.059
105,0.029,0.059
106,0.03,0.059
107,0.031,0.059
108,0.032,0.059
109,0.033,0.059
110,0.034,0.059
111,0.035,0.059
112,0.036,0.059
113,0.035,0.059
114,0.034,0.059
115,0.033,0.059
116,0.032,0.059
117,0.033,0.059
118,0.034,0.059
119,0.035,0.059
120,0.036,0.059
121,0.037,0.059
122,0.038,0.059
123,0.037,0.059
124,0.036,0.059
125,0.035,0.059
126,0.034,0.059
127,0.033,0.059
128,0.034,0.059
129,0.035,0.059
130,0.036,0.059
131,0.035,0.059
132,0.034,0.059
133,0.033,0.059
134,0.032,0.059
135,0.031,0.059
136,0.03,0.059
137,0.029,0.059
138,0.028,0.059
139,0.029,0.059
140,0.03,0.059
141,0.031,0.059
142,0.032,0.059
143,0.033,0.059
144,0.034,0.059
145,0.035,0.059
146,0.036,0.059
147,0.037,0.059
148,0.036,0.059
149,0.035,0.059
150,0.036,0.059
151,0.035,0.059
152,0.034,0.059
153,0.035,0.059
154,0.036,0.059
155,0.037,0.059
156,0.038,0.059
157,0.039,0.059
158,0.04,0.059
159,0.041,0.059
160,0.042,0.059
161,0.041,0.059
162,0.04,0.059
163,0.039,0.059
164,0.038,0.059
165,0.037,0.059
166,0.036,0.059
167,0.035,0.059
168,0.034,0.059
169,0.033,0.059
170,0.032,0.059
171,0.031,0.059
172,0.03,0.059
173,0.031,0.059
174,0.032,0.059
175,0.033,0.059
176,0.034,0.059
177,0.035,0.059
178,0.036,0.059
179,0.037,0.059
180,0.038,0.059
181,0.039,0.059
182,0.04,0.059
183,0.039,0.059
184,0.038,0.059
185,0.037,0.059
186,0.036,0.059
187,0.035,0.059
188,0.034,0.059
189,0.033,0.059
190,0.032,0.059
191,0.031,0.059
192,0.03,0.059
193,0.029,0.059
194,0.03,0.059
195,0.031,0.059
196,0.032,0.059
197,0.033,0.059
198,0.034,0.059
199,0.035,0.059
200,0.036,0.059
