Generation,Min,Max,Avg,Std
0,0.0,0.0,0.0,0.0
1,0.336690142811,2.87373246111,0.959365846232,0.516318913414
2,1.2396197817,4.17287959498,1.95275547539,0.583595087509
3,2.14025343418,5.56588175493,2.95618541368,0.672966946323
4,2.98154587071,6.59593997821,3.90046186019,0.81872694516
5,3.99306880503,7.53192625858,5.01671925935,0.855843592759
6,4.94694403409,9.23830527057,6.08698361278,0.881861336871
7,6.08697402929,11.7841358312,7.21249746467,0.947202416232
8,7.10838036051,12.0949814852,8.22785224899,0.906307224709
9,8.1169413255,12.4328317379,9.17006760197,0.976242341269
10,9.01975203119,12.4328317379,10.0782329927,0.865195597444
11,9.94747843437,14.9986180193,10.9932910006,0.880241106749
12,10.664985882,15.032271126,11.8259711728,0.851429599343
13,11.7841358312,15.9382674213,12.5355485876,0.834352533422
14,12.2461923704,16.1202871868,13.2645287472,0.971974983777
15,12.9226025761,16.5539323317,14.1729892105,0.914256450486
16,13.9104244753,17.883747174,15.1286113188,0.998292862979
17,14.9986180193,19.5457665008,16.0992618803,0.944006022309
18,15.8594556111,20.5525570154,16.9565465952,0.9518322143
19,16.6714446695,20.6562145887,17.8376690146,0.955137953373
20,17.6489546944,21.5498849961,18.7975007286,0.869848886318
21,18.7907818834,23.4776122486,19.7511595483,0.86608301911
22,19.5442915472,24.3188659265,20.4801533516,0.963832211822
23,20.2108086184,24.5340589523,21.2598552921,1.0047523904
24,20.8966125267,25.2028824529,22.1320550762,1.08402297578
25,21.7475313597,26.8381625309,23.029361391,0.985434563661
26,22.8067190764,27.0934617981,23.9714176336,0.951593851469
27,23.6796906106,27.0934617981,24.7417763918,0.891233437433
28,24.4564624971,28.9484088195,25.6835206544,0.930666938805
29,25.3819063674,29.1177486315,26.5733949217,0.826843319061
30,26.4509285835,30.1936768304,27.3551890221,0.851098960244
31,26.8866867708,31.0670709514,28.0673308592,0.957734155916
32,27.8892713789,32.0526455337,29.0821746233,1.00518394497
33,28.9484088195,32.911670242,29.9147222356,0.967041874523
34,29.5908764721,33.1316277666,30.8034592726,0.888156112747
35,30.601653501,33.8101486808,31.605199935,0.830306444391
36,31.4429367324,34.6722016608,32.3514728912,0.728807547103
37,32.2228282237,35.3103927288,33.0265462549,0.696497920999
38,32.668827013,36.1411014781,33.6665673751,0.785305032813
39,33.4514398997,38.6606679983,34.4391118089,0.83485511869
40,34.3351681692,38.6606679983,35.2167277065,0.814865043961
41,34.9836070347,38.8689371475,35.9262543565,0.880505425055
42,35.7010716267,40.2935269133,36.747347749,0.967624861704
43,36.3640263288,40.8911030528,37.6130313833,0.97743511375
44,37.3483800085,41.0221060701,38.4891698111,0.844869935905
45,38.4569019326,41.2097131462,39.2659021875,0.731159324133
46,39.0757732396,41.7129917515,39.8820730596,0.646785719958
47,39.7387436368,42.233252536,40.5151137713,0.556575692402
48,40.373866854,43.8286000693,41.0869049736,0.703129451253
49,40.8911030528,44.7561793889,41.7103651309,0.772891633938
50,41.4698805854,46.0404650774,42.5178962002,0.874073264579
51,42.2623569557,46.0404650774,43.3219706922,0.884427363441
52,43.0416565822,46.5701656836,44.1765100457,0.762993685241
53,44.0583222537,46.5701656836,44.8261863962,0.567067972118
54,44.6641743796,47.9514909724,45.3697277633,0.595297334932
55,45.2368760942,47.9514909724,45.9330355795,0.621537315875
56,45.8206490846,48.3153807569,46.506852347,0.635000008979
57,46.3794206767,48.4366452494,47.1130822793,0.5760727865
58,46.9629330653,49.3013549851,47.7071085311,0.59913824231
59,47.6958530679,50.6872107798,48.2703778214,0.555201661988
60,47.9859584576,50.6872107798,48.7264995672,0.63557492425
61,48.5654681697,50.8713256157,49.3265586053,0.62635113439
62,49.2299029756,51.3268965134,49.941308957,0.540057789217
63,49.823418216,52.4585700894,50.460342013,0.499747749854
64,50.49353118,52.4585700894,50.946834338,0.458974014817
65,50.8179960682,52.4585700894,51.2954843341,0.489084450879
66,51.1101656167,53.1334291046,51.7840373254,0.501939562255
67,51.6597990229,53.8936757578,52.2992789833,0.425316376088
68,52.2506559099,54.8209496712,52.7179363746,0.574914668714
69,52.4585700894,55.7357019819,53.1217884329,0.712582650941
70,52.705978646,55.7357019819,53.6677382623,0.72916783253
71,53.5649494532,56.5091667158,54.3545325367,0.720237495014
72,54.0454574807,57.6187240381,55.0521246773,0.726300291511
73,54.9219608599,58.6760119027,55.7637601577,0.694685373697
74,55.7012086127,58.8893665971,56.408591232,0.748651867576
75,56.0645726649,59.4360988929,57.0581933294,0.840125833722
76,56.7643651308,59.4360988929,57.7729066346,0.670277784122
77,57.6991826814,60.5410739176,58.3973839055,0.572320677696
78,58.3189491892,61.1355909269,58.994430351,0.570723392471
79,58.7757522155,61.7183920841,59.5066018631,0.665055520361
80,59.3578702613,62.2657430432,60.1140605996,0.687230757222
81,59.8586832695,63.7101522486,60.6301866005,0.725539545471
82,60.4535910569,63.8539313315,61.2315631445,0.755569921738
83,60.9703409171,64.9555205997,61.8982541992,0.845883629353
84,61.5875935924,65.011034176,62.5676903001,0.902354461128
85,62.339761751,65.9614679088,63.2955242221,0.753906222219
86,63.1088124042,66.1006887353,63.9708850112,0.693798566958
87,63.7463464224,66.1006887353,64.5412212777,0.657613993288
88,64.3676502725,66.9547698424,65.1348556884,0.538508202906
89,65.011034176,67.6201456358,65.6034602685,0.500355373952
90,65.5417510433,67.9436804744,65.9586002997,0.472573214153
91,65.6741440656,68.5885134907,66.2664713063,0.574742448017
92,66.0167089477,68.9081950357,66.6816779616,0.57832520014
93,66.627254476,68.9081950357,67.1659768958,0.554934956847
94,66.9369828969,68.9081950357,67.5907681473,0.545615170413
95,67.6201456358,69.856764947,68.0528693193,0.535388495418
96,67.6900555155,70.117284002,68.4720186137,0.542218793899
97,68.499549037,70.2685991363,68.9064655487,0.442851725822
98,68.6033489078,72.4518196893,69.2491046292,0.628875887309
99,68.9081950357,72.4518196893,69.6948551772,0.668146602624
100,69.5004435546,72.4518196893,70.1862987169,0.603572047636
101,70.0727566698,73.6375852436,70.6291158541,0.629364049159
102,70.3254878948,73.6375852436,71.0705962333,0.716984702038
103,70.79700209,73.6435106759,71.6319670997,0.748658888406
104,71.2562691922,73.6435106759,72.2116780017,0.691541424844
105,71.9332624496,74.1028875768,72.7775549086,0.530701715637
106,72.6726687669,74.422184677,73.2067682076,0.409949230553
107,73.1167092966,74.6086952221,73.5940307309,0.329082939925
108,73.5879713238,74.6889205026,73.8656520399,0.299700210019
109,73.6435106759,74.913505794,74.0868631977,0.325033951109
110,74.0151743389,75.3334805441,74.3549375329,0.270736846951
111,74.2753706969,75.6278949645,74.5737438092,0.300650925236
112,74.4376806644,75.9595650539,74.7785903987,0.31266401923
113,74.6166888462,76.487965647,75.0212361098,0.370239518801
114,74.8698748886,76.487965647,75.2408936535,0.379597378511
115,75.0552883028,76.7900859351,75.5334083315,0.389912246452
116,75.3793523724,76.9344629951,75.8501778461,0.347491844933
117,75.7142091991,77.1483967607,76.1330674559,0.325999469158
118,76.0090088571,77.3457213791,76.3381413322,0.347187100764
119,76.1384821777,78.0345186378,76.6079947985,0.349913777932
120,76.5157282032,78.3522441957,76.9196947181,0.363971529292
121,76.7900859351,78.7466270341,77.1738676234,0.428057523843
122,76.9822454238,78.7533370088,77.4408410687,0.462557354443
123,77.2800239887,78.7533370088,77.7589238063,0.376073876131
124,77.6422947318,78.7533370088,78.0554259178,0.311529731314
125,77.8949726456,79.1884500682,78.2735583558,0.264837922951
126,78.1065183252,79.2149097179,78.4744431133,0.29550639045
127,78.4263934342,79.2373232008,78.7193683249,0.192358500169
128,78.617549066,80.376613307,78.8817238444,0.249208010209
129,78.7533370088,81.1219229264,79.0536784019,0.369229925795
130,78.9038915095,81.1219229264,79.2990220631,0.453386256798
131,79.1056216551,81.1219229264,79.6089319073,0.54191058676
132,79.4136754861,81.1219229264,80.00525679,0.528995060129
133,79.8852563978,81.4379003016,80.4393235344,0.428539895273
134,80.376613307,81.9242547992,80.7691396112,0.332447559666
135,80.6610678803,82.5872771344,81.0758106639,0.28546673197
136,81.1219229264,82.5872771344,81.2819202873,0.294730426658
137,81.1219229264,82.5872771344,81.4385988106,0.383981237732
138,81.2480687748,82.7109412537,81.6989847192,0.381228044509
139,81.5383540154,82.7109412537,81.9506295951,0.341207132878
140,81.8861592989,83.5995756949,82.1867375955,0.319374163882
141,81.9682671192,83.5995756949,82.4365656981,0.335458644936
142,82.5320000299,83.5995756949,82.680205526,0.236752871674
143,82.5872771344,83.6737975643,82.7685523425,0.312452044963
144,82.5872771344,83.8156458604,82.9064893882,0.347101977338
145,82.7109412537,83.9293703049,83.1188247727,0.350834288026
146,82.9275675433,84.003065629,83.3487165447,0.284162542685
147,83.2726419531,84.0885082915,83.5657507003,0.172097122939
148,83.514199291,84.3440147735,83.6779532709,0.161106360086
149,83.5988115753,84.3440147735,83.7434930913,0.176473042928
150,83.5995756949,84.3934397737,83.8170571447,0.210586556699
151,83.657940985,84.7227078384,83.8979490797,0.219794630311
152,83.6670670983,84.8239761438,83.9670014794,0.274264410403
153,83.7482490956,84.8239761438,84.0692087514,0.266374667466
154,83.8053199068,84.9523674551,84.1358624605,0.273624646044
155,83.8561107191,85.0328351607,84.2576600268,0.293680619139
156,83.9381819183,85.5081126734,84.3215441239,0.326936259693
157,84.012237964,85.5081126734,84.4006391924,0.347143586821
158,84.1147580289,85.5081126734,84.4991930531,0.333758295095
159,84.2047239046,85.8560410585,84.6510319525,0.34972536291
160,84.4895140712,86.1969902029,84.8892793435,0.356946808961
161,84.6408544296,86.1969902029,85.0724694599,0.346730080424
162,84.9095286552,86.1969902029,85.2561978772,0.296747966158
163,85.0960521869,86.2522202699,85.494669649,0.280946392271
164,85.3355260938,86.6557862047,85.6994628995,0.276867664361
165,85.6285576616,86.6557862047,85.9320417762,0.25463061569
166,85.7779980278,86.7305155278,86.0872838998,0.244611312247
167,85.8997935573,87.0158928766,86.2216632142,0.241015334295
168,86.0938836733,87.0587881966,86.3258641146,0.221243515704
169,86.1012331921,87.131553458,86.3749184609,0.259546057967
170,86.1336607096,87.131553458,86.4550974313,0.280809936431
171,86.1757266275,87.3444088458,86.5478449609,0.299890293209
172,86.1969902029,87.3444088458,86.5891431566,0.298555797381
173,86.2186929878,87.4631132163,86.6443638281,0.3372002117
174,86.2664507034,87.7207841913,86.7262446871,0.35004168629
175,86.3866695754,87.7564794172,86.8094794919,0.327333840329
176,86.4689629089,88.1346263275,86.9113533992,0.343220656346
177,86.6291907207,88.1346263275,87.0015852741,0.322786579728
178,86.7107869103,88.1346263275,87.1331999296,0.330568748647
179,86.8823182951,88.4273973538,87.3149936579,0.389697616686
180,87.0484040608,88.8006304835,87.4864288158,0.375529624666
181,87.2305756592,89.1397743533,87.7163231972,0.408222264582
182,87.5302889701,89.1397743533,87.9769143784,0.408812555403
183,87.8347427453,89.1397743533,88.298735727,0.35364277503
184,88.1280519448,89.1767363276,88.5367447278,0.289255867744
185,88.3745240363,89.3567711523,88.7176042023,0.238107142949
186,88.5145540286,89.5232872686,88.8334905073,0.221622879947
187,88.5934557879,89.6668676456,88.9012973627,0.22200725925
188,88.6915044313,89.6668676456,88.9822368962,0.243689064227
189,88.712356824,89.9309427422,89.0229408518,0.254206154485
190,88.781667298,89.9309427422,89.1227721743,0.282314366206
191,88.811354765,90.0586841453,89.1685382609,0.268180267639
192,88.8354928588,90.134086208,89.1678383657,0.266459914701
193,88.8573423844,90.134086208,89.2221407184,0.256072610003
194,88.9648684729,90.134086208,89.2633370535,0.23839154298
195,89.0036017034,90.134086208,89.3084721218,0.257708047425
196,88.978969728,90.2059348904,89.3432312093,0.281393774241
197,89.0074096878,90.2059348904,89.3622109497,0.283301875287
198,88.9187080536,90.3299194226,89.3674396146,0.315869235821
199,89.0104451351,90.3434720011,89.4304443137,0.314108371026
200,89.0918916652,90.5846572692,89.506581355,0.309988065453
