Generation,Min,Max,Avg,Std
0,0.0,0.0,0.0,0.0
1,0.180101925047,2.53065599225,0.806579380706,0.501086380911
2,0.991398166936,4.86588807124,1.85547865257,0.706294744871
3,2.10456467132,5.01602095275,2.88563339498,0.663320464978
4,3.05966817863,5.60548659421,3.98027178074,0.684335938402
5,4.11651795115,8.5348472636,4.96251255785,0.713675271387
6,5.03342613274,8.5348472636,5.90305730936,0.778105893603
7,5.95492326169,9.99658235801,6.90015834962,0.893650209761
8,6.81505249872,10.7042629232,7.92718564758,0.98901108542
9,7.90460304659,11.7460507405,9.03084754874,0.918102431865
10,8.93111640226,12.6092701268,10.0112707811,0.855976375421
11,9.9023573577,13.2406661313,10.9159454776,0.822453380406
12,10.6364683799,16.0793757869,11.743804953,0.90573599181
13,11.4675446262,16.0793757869,12.6411941451,0.991537886992
14,12.4378249663,16.6997679303,13.7534992933,1.05696657066
15,13.5315152187,18.898065672,14.7583366679,1.10302883279
16,14.551840312,20.0050082065,15.8428240171,1.17975712421
17,15.4833969053,23.4672947246,16.8630366844,1.36185412956
18,16.4371593692,23.4672947246,17.9148193714,1.29870464116
19,17.5768435386,23.6961574892,19.1983667835,1.4299376645
20,18.9241261283,24.9210032148,20.5395066514,1.38366657308
21,20.1502607238,24.9457480304,21.7272568301,1.33968793102
22,21.5114231124,26.5702046107,22.9912540687,1.02884011285
23,22.9620296356,27.4385082986,24.0308110577,0.855652170627
24,23.6961574892,27.4385082986,24.7818261171,0.915630194825
25,24.5812922589,27.6232684772,25.6039561364,0.877604081986
26,25.3898388945,29.7641902509,26.5227254147,0.876333697506
27,26.3140772122,30.6837386387,27.3458841673,0.764446437534
28,27.1798930045,30.6837386387,28.0354195543,0.748461913753
29,27.8619492248,30.6837386387,28.783274372,0.738203590812
30,28.5093060116,32.1752665179,29.4339038482,0.819150959545
31,29.2490783527,32.5880602797,30.2102377966,0.766691048016
32,30.1718141272,32.7801376192,30.9398842932,0.618788297056
33,30.6837386387,34.1393972114,31.6067983347,0.748454710122
34,31.3227588915,34.5942864061,32.3499489024,0.735657781788
