Generation,pm,pm0
0,0.05,0.05
1,0.049,0.05
2,0.048,0.05
3,0.047,0.05
4,0.046,0.05
5,0.045,0.05
6,0.044,0.05
7,0.043,0.05
8,0.042,0.05
9,0.041,0.05
10,0.04,0.05
11,0.039,0.05
12,0.038,0.05
13,0.037,0.05
14,0.036,0.05
15,0.035,0.05
16,0.034,0.05
17,0.033,0.05
18,0.032,0.05
19,0.031,0.05
20,0.03,0.05
21,0.029,0.05
22,0.028,0.05
23,0.027,0.05
24,0.026,0.05
25,0.025,0.05
26,0.024,0.05
27,0.023,0.05
28,0.022,0.05
29,0.021,0.05
30,0.02,0.05
31,0.019,0.05
32,0.018,0.05
33,0.017,0.05
34,0.016,0.05
35,0.017,0.05
36,0.018,0.05
37,0.019,0.05
38,0.02,0.05
39,0.021,0.05
40,0.022,0.05
41,0.021,0.05
42,0.02,0.05
43,0.019,0.05
44,0.02,0.05
45,0.019,0.05
46,0.018,0.05
47,0.017,0.05
48,0.018,0.05
49,0.019,0.05
50,0.02,0.05
51,0.021,0.05
52,0.022,0.05
53,0.023,0.05
54,0.024,0.05
55,0.025,0.05
56,0.026,0.05
57,0.027,0.05
58,0.028,0.05
59,0.029,0.05
60,0.03,0.05
61,0.031,0.05
62,0.032,0.05
63,0.033,0.05
64,0.034,0.05
65,0.035,0.05
66,0.036,0.05
67,0.037,0.05
68,0.038,0.05
69,0.039,0.05
70,0.04,0.05
71,0.041,0.05
72,0.042,0.05
73,0.043,0.05
74,0.044,0.05
75,0.045,0.05
76,0.046,0.05
77,0.047,0.05
78,0.046,0.05
79,0.045,0.05
80,0.044,0.05
81,0.043,0.05
82,0.042,0.05
83,0.041,0.05
84,0.04,0.05
85,0.039,0.05
86,0.038,0.05
87,0.037,0.05
88,0.036,0.05
89,0.035,0.05
90,0.034,0.05
91,0.033,0.05
92,0.032,0.05
93,0.031,0.05
94,0.032,0.05
95,0.033,0.05
96,0.034,0.05
97,0.035,0.05
98,0.036,0.05
99,0.037,0.05
100,0.038,0.05
101,0.039,0.05
102,0.04,0.05
103,0.041,0.05
104,0.042,0.05
105,0.041,0.05
106,0.04,0.05
107,0.039,0.05
108,0.038,0.05
109,0.037,0.05
110,0.036,0.05
111,0.035,0.05
112,0.034,0.05
113,0.033,0.05
114,0.032,0.05
115,0.031,0.05
116,0.03,0.05
117,0.031,0.05
118,0.032,0.05
119,0.031,0.05
120,0.032,0.05
121,0.033,0.05
122,0.034,0.05
123,0.035,0.05
124,0.036,0.05
125,0.037,0.05
126,0.038,0.05
127,0.039,0.05
128,0.04,0.05
129,0.039,0.05
130,0.038,0.05
131,0.037,0.05
132,0.036,0.05
133,0.035,0.05
134,0.034,0.05
135,0.035,0.05
136,0.036,0.05
137,0.035,0.05
138,0.034,0.05
139,0.033,0.05
140,0.034,0.05
141,0.035,0.05
142,0.036,0.05
143,0.037,0.05
144,0.038,0.05
145,0.039,0.05
146,0.038,0.05
147,0.037,0.05
148,0.036,0.05
149,0.035,0.05
150,0.036,0.05
151,0.035,0.05
152,0.034,0.05
153,0.033,0.05
154,0.032,0.05
155,0.031,0.05
156,0.03,0.05
157,0.029,0.05
158,0.028,0.05
159,0.027,0.05
160,0.028,0.05
161,0.029,0.05
162,0.03,0.05
163,0.031,0.05
164,0.032,0.05
165,0.033,0.05
166,0.034,0.05
167,0.035,0.05
168,0.036,0.05
169,0.037,0.05
170,0.036,0.05
171,0.035,0.05
172,0.034,0.05
173,0.033,0.05
174,0.032,0.05
175,0.031,0.05
176,0.03,0.05
177,0.029,0.05
178,0.028,0.05
179,0.029,0.05
180,0.03,0.05
181,0.031,0.05
182,0.032,0.05
183,0.033,0.05
184,0.034,0.05
185,0.035,0.05
186,0.034,0.05
187,0.033,0.05
188,0.032,0.05
189,0.031,0.05
190,0.032,0.05
191,0.031,0.05
192,0.032,0.05
193,0.031,0.05
194,0.03,0.05
195,0.029,0.05
196,0.028,0.05
197,0.027,0.05
198,0.026,0.05
199,0.025,0.05
200,0.024,0.05
