Generation,pm,pm0,deviation,best_fitness
0,0.01,0.01,0.0,0.0
1,0.009,0.01,1.99545003858,2.87373246111
2,0.008,0.01,1.13691865038,4.17287959498
3,0.007,0.01,0.882791833411,5.56588175493
4,0.006,0.01,0.691066395373,6.59593997821
5,0.005,0.01,0.501364909854,7.53192625858
6,0.004,0.01,0.517714825315,9.23830527057
7,0.003,0.01,0.633849563051,11.7841358312
8,0.002,0.01,0.470004701005,12.0949814852
9,0.001,0.01,0.355805897788,12.4328317379
10,0.001,0.01,0.233632100678,12.4328317379
11,0.001,0.01,0.364342854063,14.9986180193
12,0.001,0.01,0.271123606366,15.032271126
13,0.001,0.01,0.271445546237,15.9382674213
14,0.001,0.01,0.215292868219,16.1202871868
15,0.001,0.01,0.167991599078,16.5539323317
16,0.001,0.01,0.182114259999,17.883747174
17,0.001,0.01,0.214078424596,19.5457665008
18,0.001,0.01,0.212072098528,20.5525570154
19,0.001,0.01,0.158010868558,20.6562145887
20,0.001,0.01,0.146422883937,21.5498849961
21,0.001,0.01,0.188670072317,23.4776122486
22,0.001,0.01,0.187435733954,24.3188659265
23,0.001,0.01,0.154008746308,24.5340589523
24,0.001,0.01,0.138750213938,25.2028824529
25,0.001,0.01,0.165388917013,26.8381625309
26,0.001,0.01,0.130240280832,27.0934617981
27,0.001,0.01,0.0950491738772,27.0934617981
28,0.001,0.01,0.127119961824,28.9484088195
29,0.001,0.01,0.0957481615488,29.1177486315
30,0.001,0.01,0.103764145296,30.1936768304
31,0.001,0.01,0.106876571458,31.0670709514
32,0.001,0.01,0.102140604986,32.0526455337
33,0.001,0.01,0.100183046422,32.911670242
34,0.001,0.01,0.0755813973165,33.1316277666
35,0.001,0.01,0.0697653788095,33.8101486808
36,0.001,0.01,0.0717348720845,34.6722016608
37,0.001,0.01,0.069151840957,35.3103927288
38,0.001,0.01,0.0735012297338,36.1411014781
39,0.001,0.01,0.122580286413,38.6606679983
40,0.001,0.01,0.097792739874,38.6606679983
41,0.001,0.01,0.0819089783716,38.8689371475
42,0.001,0.01,0.0965016356696,40.2935269133
43,0.001,0.01,0.0871525518949,40.8911030528
44,0.001,0.01,0.0658090645086,41.0221060701
45,0.001,0.01,0.0495037895576,41.2097131462
46,0.001,0.01,0.0459083129699,41.7129917515
47,0.001,0.01,0.0424073538177,42.233252536
48,0.001,0.01,0.0667291707032,43.8286000693
49,0.001,0.01,0.0730229584025,44.7561793889
50,0.001,0.01,0.0828490869019,46.0404650774
51,0.001,0.01,0.0627509400371,46.0404650774
52,0.001,0.01,0.0541839007978,46.5701656836
53,0.001,0.01,0.0389053682149,46.5701656836
54,0.001,0.01,0.0569049746683,47.9514909724
55,0.001,0.01,0.0439434356433,47.9514909724
56,0.001,0.01,0.0388873535551,48.3153807569
57,0.001,0.01,0.0280933215597,48.4366452494
58,0.001,0.01,0.0334173774761,49.3013549851
59,0.001,0.01,0.0500686563362,50.6872107798
60,0.001,0.01,0.0402391148549,50.6872107798
61,0.001,0.01,0.0313171454507,50.8713256157
62,0.001,0.01,0.027744317987,51.3268965134
63,0.001,0.01,0.0395999709217,52.4585700894
64,0.001,0.01,0.029672810314,52.4585700894
65,0.001,0.01,0.0226742328375,52.4585700894
66,0.001,0.01,0.0260580643943,53.1334291046
67,0.001,0.01,0.0304860182685,53.8936757578
68,0.001,0.01,0.0398917985255,54.8209496712
69,0.001,0.01,0.0492060532242,55.7357019819
70,0.001,0.01,0.0385327160525,55.7357019819
71,0.001,0.01,0.0396403773261,56.5091667158
72,0.001,0.01,0.0466212589581,57.6187240381
73,0.001,0.01,0.0522248093891,58.6760119027
74,0.001,0.01,0.0439786796814,58.8893665971
75,0.001,0.01,0.0416750938781,59.4360988929
76,0.001,0.01,0.0287884469598,59.4360988929
77,0.001,0.01,0.0367086651612,60.5410739176
78,0.001,0.01,0.0362942834292,61.1355909269
79,0.001,0.01,0.0371688207982,61.7183920841
80,0.001,0.01,0.0357933305811,62.2657430432
81,0.001,0.01,0.0507992110997,63.7101522486
82,0.001,0.01,0.0428270658516,63.8539313315
83,0.001,0.01,0.0493918033728,64.9555205997
84,0.001,0.01,0.0390512078073,65.011034176
85,0.001,0.01,0.042118992132,65.9614679088
86,0.001,0.01,0.0332933290476,66.1006887353
87,0.001,0.01,0.0241623481358,66.1006887353
88,0.001,0.01,0.0279407106202,66.9547698424
89,0.001,0.01,0.0307405334868,67.6201456358
90,0.001,0.01,0.0300958505135,67.9436804744
91,0.001,0.01,0.0350409813383,68.5885134907
92,0.001,0.01,0.0333902376498,68.9081950357
93,0.001,0.01,0.0259389979922,68.9081950357
94,0.001,0.01,0.0194912252735,68.9081950357
95,0.001,0.01,0.0265072677419,69.856764947
96,0.001,0.01,0.0240282880752,70.117284002
97,0.001,0.01,0.0197678632442,70.2685991363
98,0.001,0.01,0.0462491909072,72.4518196893
99,0.001,0.01,0.0395576474786,72.4518196893
100,0.001,0.01,0.0322786785151,72.4518196893
101,0.001,0.01,0.042595314313,73.6375852436
102,0.001,0.01,0.0361188613342,73.6375852436
103,0.001,0.01,0.0280816464716,73.6435106759
104,0.001,0.01,0.0198282703551,73.6435106759
105,0.001,0.01,0.0182107336503,74.1028875768
106,0.001,0.01,0.0166025150289,74.422184677
107,0.001,0.01,0.0137873205352,74.6086952221
108,0.001,0.01,0.0111454842664,74.6889205026
109,0.001,0.01,0.0111577486293,74.913505794
110,0.001,0.01,0.0131604308161,75.3334805441
111,0.001,0.01,0.0141356877293,75.6278949645
112,0.001,0.01,0.0157929515503,75.9595650539
113,0.001,0.01,0.0195508580411,76.487965647
114,0.001,0.01,0.0165743910389,76.487965647
115,0.001,0.01,0.0166373745257,76.7900859351
116,0.001,0.01,0.0142950903982,76.9344629951
117,0.001,0.01,0.013336245849,77.1483967607
118,0.001,0.01,0.0131989072479,77.3457213791
119,0.001,0.01,0.0186210831269,78.0345186378
120,0.001,0.01,0.01862396208,78.3522441957
121,0.001,0.01,0.0203794297096,78.7466270341
122,0.001,0.01,0.0169483688711,78.7533370088
123,0.001,0.01,0.0127884126199,78.7533370088
124,0.002,0.01,0.00894122455681,78.7533370088
125,0.001,0.01,0.0116883879011,79.1884500682
126,0.002,0.01,0.00943576755989,79.2149097179
127,0.003,0.01,0.00657976412821,79.2373232008
128,0.002,0.01,0.0189510242642,80.376613307
129,0.001,0.01,0.0261625336905,81.1219229264
130,0.001,0.01,0.022987684033,81.1219229264
131,0.001,0.01,0.0190052922817,81.1219229264
132,0.001,0.01,0.0139574095663,81.1219229264
133,0.001,0.01,0.0124140373547,81.4379003016
134,0.001,0.01,0.0143014422784,81.9242547992
135,0.001,0.01,0.0186426316075,82.5872771344
136,0.001,0.01,0.0160596211619,82.5872771344
137,0.001,0.01,0.0141048389905,82.5872771344
138,0.001,0.01,0.0123864028176,82.7109412537
139,0.002,0.01,0.00927767928555,82.7109412537
140,0.001,0.01,0.0171905850099,83.5995756949
141,0.001,0.01,0.0141079384724,83.5995756949
142,0.001,0.01,0.0111195922045,83.5995756949
143,0.001,0.01,0.0109370672335,83.6737975643
144,0.001,0.01,0.0109660471565,83.8156458604
145,0.002,0.01,0.00975164813019,83.9293703049
146,0.003,0.01,0.0078507397771,84.003065629
147,0.004,0.01,0.00625564405086,84.0885082915
148,0.005,0.01,0.00795982067536,84.3440147735
149,0.006,0.01,0.00717096528973,84.3440147735
150,0.007,0.01,0.00687667461199,84.3934397737
151,0.008,0.01,0.0098304996447,84.7227078384
152,0.007,0.01,0.0102060886929,84.8239761438
153,0.008,0.01,0.00897792906112,84.8239761438
154,0.009,0.01,0.00970460123352,84.9523674551
155,0.01,0.01,0.00920005532643,85.0328351607
156,0.009,0.01,0.0140719499605,85.5081126734
157,0.008,0.01,0.0131216243334,85.5081126734
158,0.007,0.01,0.0119399911864,85.5081126734
159,0.006,0.01,0.0142350196824,85.8560410585
160,0.005,0.01,0.0154049000011,86.1969902029
