Generation,Min,Max,Avg,Std
0,4650,4650,4650.0,0.0
1,3788,4672,4489.49,173.757667951
2,3586,4702,4401.18,253.604853696
3,3586,4616,4296.41,263.895567614
4,3134,4557,4198.03,263.337455089
5,3134,4483,4150.19,268.232248794
6,3134,4470,4144.73,237.922950562
7,3134,4429,4075.29,245.665959252
8,3134,4447,4073.76,257.251954474
9,3134,4495,4133.17,262.369892913
10,3134,4533,4131.14,280.893848169
11,2914,4409,4039.45,315.881526666
12,2914,4469,4065.55,307.057635329
13,2914,4382,4027.32,277.319961799
14,2914,4330,4024.68,253.606227818
15,2914,4396,4014.71,265.470243915
16,2914,4378,4030.29,282.920029926
17,2914,4396,4003.26,290.87775974
18,2914,4356,3988.11,286.559666253
19,2914,4404,4022.28,292.123679356
20,2914,4344,3989.48,295.550282174
21,2914,4407,3982.72,305.046844556
22,2914,4466,4031.64,301.136216032
23,2914,4372,4054.11,261.014992216
24,2914,4533,4124.37,325.194849283
25,2914,4404,4014.88,290.487235416
26,2914,4348,4005.49,273.804674721
27,2914,4434,4055.69,307.728914383
28,2914,4402,4030.02,270.060448901
29,2914,4455,4063.04,294.608005953
30,2914,4442,4024.64,332.91268974
31,2914,4447,4053.41,294.823936332
32,2914,4424,3998.42,306.649280798
33,2914,4441,4029.44,323.520262117
34,2739,4389,4038.09,284.545396602
35,2739,4442,4064.75,316.410977315
36,2739,4349,3991.94,279.516639789
37,2739,4350,4003.08,275.47265827
38,2739,4373,3986.64,264.237401676
39,2739,4375,4012.24,301.340644856
40,2739,4442,4062.27,328.611614266
41,2739,4439,4051.44,318.997967759
42,2739,4439,4075.35,296.984146603
43,2739,4450,4092.35,281.031626783
44,2739,4450,4094.56,300.616414533
45,2739,4401,4070.21,293.263087147
46,2739,4430,4106.12,273.617490137
47,2739,4408,4061.82,286.28753576
48,2739,4431,4078.17,286.09732239
49,2739,4377,4053.43,286.57656283
50,2739,4426,4003.31,346.344275938
51,2739,4454,4042.7,329.54227515
52,2739,4409,4079.71,275.731361541
53,2739,4461,4094.65,331.829771833
54,2739,4473,4090.0,314.340515359
55,2739,4459,4042.61,317.374166427
56,2739,4392,4047.22,305.118906446
57,2739,4346,3951.28,282.939372454
58,2739,4426,4013.82,312.699500118
59,2716,4436,4057.98,300.91956642
60,2716,4418,4048.11,289.188062085
61,2418,4409,4018.36,332.705727955
62,2418,4368,3995.59,303.499924118
63,2418,4469,4059.0,334.943082757
64,2418,4404,4037.17,320.071679314
65,2418,4378,4002.65,318.280810358
66,2418,4307,3939.9,298.60282394
67,2418,4267,3921.31,295.808110576
68,2418,4365,3890.12,366.665710192
69,2418,4369,3903.11,370.638239999
70,2418,4390,3951.88,327.219948269
71,2418,4344,3929.98,345.598937872
72,2418,4385,3998.49,327.011954034
73,2418,4363,3994.56,296.236062026
74,2418,4435,3997.91,342.423097464
75,2418,4399,4042.4,301.70890379
76,2418,4358,3961.06,311.721833393
77,2418,4350,3959.03,311.194909692
78,2418,4359,3970.46,302.973260146
79,2418,4310,3916.21,319.394607109
80,2418,4371,4010.03,312.250496922
81,2418,4347,3978.46,330.123344564
82,2418,4321,3996.11,300.102066644
83,2418,4335,3917.93,296.389869338
84,2418,4344,3982.89,290.314872426
85,2418,4383,3984.31,334.426531468
86,2418,4340,3966.48,306.701331374
87,2418,4332,3942.95,330.254183558
88,2418,4315,3922.48,344.426693319
89,2418,4256,3854.68,289.76726572
90,2418,4274,3866.73,310.809658047
91,2418,4254,3840.37,316.729998611
92,2418,4305,3868.57,350.194585303
93,2418,4229,3864.78,283.112840408
94,2418,4285,3881.87,336.88503734
95,2418,4341,3928.77,341.599826574
96,2418,4226,3858.88,312.986309443
97,2418,4356,3931.9,347.209059953
98,2418,4331,3940.29,306.351494664
99,2418,4352,3931.56,342.748525772
100,2418,4207,3819.5,300.946805595
101,2418,4208,3796.79,327.797464415
102,2418,4349,3908.08,345.552278785
103,2418,4278,3905.39,305.781195126
104,2418,4271,3863.04,340.387180615
105,2418,4324,3869.81,380.510388103
106,2418,4281,3871.58,331.320199118
107,2418,4163,3787.21,323.493284242
108,2418,4302,3898.74,327.998232934
109,2418,4352,3927.07,319.637270902
110,2418,4241,3883.69,316.321716267
111,2418,4251,3893.33,319.276171736
112,2418,4283,3915.75,300.183929307
113,2418,4281,3927.73,281.792955551
114,2418,4267,3941.72,270.009430438
115,2418,4309,3936.32,318.962075577
116,2418,4300,3870.8,310.853565838
117,2418,4261,3923.24,296.784182377
118,2418,4329,3923.96,335.70979892
119,2418,4301,3918.1,336.144855139
120,2418,4266,3840.84,329.107170534
121,2418,4282,3887.74,311.231818503
122,2418,4353,3945.08,309.95358662
123,2418,4377,3989.23,340.770631559
124,2418,4390,3991.94,332.552777614
125,2418,4322,3925.93,317.129590024
126,2418,4325,3858.6,366.796175475
127,2418,4210,3853.23,304.185278966
128,2418,4273,3875.73,318.030328742
129,2418,4223,3861.51,321.935795563
130,2418,4310,3902.06,332.053385631
131,2418,4295,3938.51,307.708982776
132,2418,4319,3893.89,300.857357221
133,2418,4325,3868.93,364.096592107
134,2418,4256,3883.48,307.496948494
135,2418,4298,3939.37,342.92914293
136,2418,4404,3994.28,324.964149693
137,2418,4309,3926.15,311.502367162
138,2418,4376,3975.96,314.381962883
139,2418,4295,3913.84,320.942259195
140,2418,4338,3954.7,313.215596835
141,2418,4324,3933.63,333.124985038
142,2418,4290,3931.36,322.750162
143,2418,4298,3906.89,342.43477282
144,2418,4298,3894.32,348.468420377
145,2418,4317,3912.71,317.865110042
146,2418,4281,3909.22,324.24789681
147,2418,4337,3946.32,320.528978189
148,2418,4259,3885.17,302.290684072
149,2418,4319,3960.96,301.430459005
150,2418,4332,3912.03,313.833722139
151,2418,4300,3884.56,311.398095918
152,2418,4386,3956.85,330.176578867
153,2418,4305,3948.79,294.725254528
154,2418,4385,3968.97,330.142346251
155,2418,4378,3947.8,340.677874452
156,2418,4324,3951.15,339.401861718
157,2418,4319,3925.61,314.005014918
158,2418,4326,3959.38,304.88924235
159,2418,4240,3908.58,298.913662073
160,2418,4361,3955.69,321.27406391
161,2418,4289,3912.26,299.093128296
162,2418,4319,3900.66,309.000971526
163,2418,4301,3942.87,300.430554842
164,2418,4323,3943.05,323.135877696
165,2418,4323,3928.44,343.642647369
166,2418,4347,3921.61,348.661883477
167,2418,4276,3848.96,358.18292601
168,2418,4329,3910.9,332.169316081
169,2418,4327,3927.34,307.832475102
170,2418,4331,3901.96,349.382483241
171,2418,4279,3911.71,310.010436286
172,2418,4274,3908.23,307.027944472
173,2418,4206,3876.37,318.081104421
174,2418,4312,3940.42,326.670537392
175,2418,4308,3936.01,311.319105995
176,2418,4295,3911.83,304.629036036
177,2418,4327,3898.48,356.243631309
178,2418,4298,3895.01,335.734668415
179,2418,4314,3909.82,328.642521087
180,2418,4275,3841.49,342.412519094
181,2418,4260,3847.04,325.78179225
182,2418,4334,3901.15,351.660688589
183,2418,4313,3867.17,350.368263835
184,2418,4336,3894.27,355.500581909
185,2418,4250,3855.3,320.392987855
186,2418,4253,3831.62,340.488768708
187,2418,4232,3856.54,313.589914933
188,2300,4180,3800.67,353.918556373
189,2300,4228,3835.91,332.964344104
190,2300,4170,3800.49,339.556023107
191,2300,4237,3884.92,333.216879052
192,2300,4268,3888.66,323.498152931
193,2300,4209,3810.63,323.858419465
194,2300,4291,3884.94,358.240335219
195,2300,4222,3835.98,323.416795851
196,2300,4321,3881.09,349.1616249
197,2300,4332,3904.95,346.990040756
198,2300,4384,3941.58,349.91632997
199,2300,4316,3916.1,328.481676995
200,2300,4348,3948.11,303.273483773
