Generation,Min,Max,Avg,Std
0,4650,4650,4650.0,0.0
1,4027,4707,4505.16,166.541390493
2,3644,4719,4395.82,260.79057661
3,3470,4637,4290.93,264.772143512
4,3470,4536,4218.07,245.604603607
5,3470,4550,4238.75,241.083973593
6,3297,4503,4157.1,268.666986239
7,3297,4464,4124.28,263.720853337
8,3175,4426,4106.28,286.236254754
9,3175,4421,4055.42,261.24025012
10,3073,4464,4099.25,308.589504558
11,3073,4397,4049.81,280.333304327
12,3073,4368,4045.35,244.092687107
13,3073,4427,4061.22,304.762155316
14,3073,4393,4045.97,283.803334061
15,3073,4443,4066.24,319.94365413
16,3073,4375,3991.2,279.203629394
17,3073,4412,4076.69,241.057212497
18,3073,4422,4027.77,280.469622583
19,2843,4354,4017.18,276.33881195
20,2843,4435,4076.75,294.515811343
21,2843,4436,3981.07,327.061828245
22,2843,4429,4094.56,277.804208359
23,2843,4407,4041.07,275.911172025
24,2843,4334,4004.9,263.819784679
25,2843,4417,4074.91,300.438773238
26,2843,4354,3996.44,288.265286067
27,2843,4409,4034.61,310.257953772
28,2843,4335,4010.51,287.551119566
29,2843,4319,3983.86,254.815164542
30,2843,4414,4018.63,294.333304334
31,2843,4404,3992.93,291.643730873
32,2843,4361,3991.67,274.303196364
33,2843,4442,4059.07,301.458047905
34,2843,4423,4059.93,297.002168308
35,2843,4374,3991.09,323.375445399
36,2843,4343,3955.97,306.903908727
37,2843,4378,3966.1,328.499173623
38,2759,4367,3990.49,312.868400869
39,2759,4387,4007.35,314.337828144
40,2759,4409,4007.18,329.511465137
41,2759,4378,4010.06,278.335268366
42,2759,4393,4046.97,320.195661615
43,2759,4308,3986.31,298.78327996
44,2759,4302,3995.46,301.519834348
45,2759,4389,3998.91,290.442577471
46,2759,4380,3987.59,315.953426276
47,2759,4304,3959.86,276.903623244
48,2759,4322,3971.38,295.186494038
49,2759,4379,3982.46,297.535480271
50,2759,4333,3995.18,281.271944329
51,2759,4363,4007.96,280.4082853
52,2759,4335,4018.26,268.341920435
53,2759,4351,4001.0,291.498878145
54,2759,4376,4002.07,276.541163758
55,2759,4364,4000.36,298.968513595
56,2759,4329,3972.29,309.830037963
57,2759,4302,3920.78,309.290278482
58,2759,4292,3886.17,301.547458616
59,2759,4313,3896.26,327.252338927
60,2444,4264,3907.26,319.782016032
61,2444,4220,3859.91,311.786513823
62,2444,4313,3894.84,305.834038311
63,2444,4228,3924.17,287.41396798
64,2444,4243,3892.3,290.209346242
65,2444,4270,3898.94,310.898561521
66,2444,4216,3860.97,298.14725719
67,2444,4332,3963.78,320.030982717
