Generation,Min,Max,Avg,Std
0,4650,4650,4650.0,0.0
1,4185,4650,4640.45,55.2678281488
2,4185,4650,4612.55,100.624050281
3,4185,4650,4562.59,143.032319227
4,4185,4650,4468.03,159.383753592
5,4135,4474,4335.14,117.347969128
6,4135,4426,4253.87,84.0518905381
7,4135,4220,4186.25,10.8445163725
8,4135,4185,4183.95,6.8066737898
9,4135,4185,4182.9,9.50969733689
10,4135,4185,4180.8,13.1133365685
11,4135,4185,4177.15,17.1790187983
12,4135,4185,4170.76,20.9289900918
13,3487,4185,4151.32,70.6390569277
14,3487,4139,4117.05,111.426596303
15,3487,4135,4102.21,141.8858052
16,3487,4135,4076.21,186.26034213
17,3487,4135,4024.21,244.373918453
18,3487,4135,3925.99,302.712801683
19,3487,4135,3732.48,311.802206146
20,3487,3487,3487.0,0.0
21,3123,3487,3481.47,40.8444833262
22,2677,3487,3473.37,90.21519223
23,2677,3487,3459.74,126.104143269
24,2677,3487,3432.48,174.078380117
25,2677,3487,3385.24,231.246823402
26,2677,3487,3292.65,294.412319097
27,2677,3487,3164.32,321.285671053
28,2677,3298,2926.87,273.4040062
29,2677,2677,2677.0,0.0
30,2677,2677,2677.0,0.0
31,2677,2677,2677.0,0.0
32,2677,2677,2677.0,0.0
33,2677,2677,2677.0,0.0
34,2677,2677,2677.0,0.0
35,2631,2677,2676.08,6.47244353028
36,2631,2677,2675.62,7.88654396794
37,2631,2677,2674.7,10.0759740236
38,2631,2677,2672.4,13.8695218506
39,2631,2677,2668.72,17.7616543046
40,2631,2677,2660.44,22.1912349609
41,2631,2677,2649.86,22.7383092395
42,2631,2631,2631.0,0.0
43,2631,2631,2631.0,0.0
44,2631,2631,2631.0,0.0
45,2631,2631,2631.0,0.0
46,2631,2631,2631.0,0.0
47,2631,2631,2631.0,0.0
48,2631,2631,2631.0,0.0
49,2631,2631,2631.0,0.0
50,2631,2631,2631.0,0.0
51,2631,2631,2631.0,0.0
52,2631,2631,2631.0,0.0
53,2631,2631,2631.0,0.0
54,2631,2631,2631.0,0.0
55,2631,2631,2631.0,0.0
56,2631,2631,2631.0,0.0
57,2631,2631,2631.0,0.0
58,2631,2631,2631.0,0.0
59,2631,2631,2631.0,0.0
60,2631,2631,2631.0,0.0
61,2631,2631,2631.0,0.0
62,2631,2631,2631.0,0.0
63,2631,2631,2631.0,0.0
64,2631,2631,2631.0,0.0
65,2631,2631,2631.0,0.0
66,2631,2631,2631.0,0.0
67,2631,2631,2631.0,0.0
68,2631,2631,2631.0,0.0
69,2631,2631,2631.0,0.0
70,2631,2631,2631.0,0.0
71,2631,2631,2631.0,0.0
72,2631,2631,2631.0,0.0
73,2631,2631,2631.0,0.0
74,2631,2631,2631.0,0.0
75,2631,2631,2631.0,0.0
76,2631,2631,2631.0,0.0
77,2631,2631,2631.0,0.0
78,2631,2631,2631.0,0.0
79,2631,2631,2631.0,0.0
80,2631,2631,2631.0,0.0
81,2631,2631,2631.0,0.0
82,2631,2631,2631.0,0.0
83,2631,2726,2632.41,9.6725112948
84,2631,2637,2631.24,1.18167831344
85,2631,2755,2635.62,20.8146121945
86,2631,2637,2631.24,1.18167831344
87,2631,2856,2645.12,45.6617515603
88,2631,2741,2643.25,31.8865967219
89,2631,2722,2632.45,9.20844474086
90,2631,2637,2631.42,1.5385943999
91,2631,2637,2631.3,1.31425748135
92,2631,2741,2635.81,20.4444035463
93,2631,2839,2646.66,45.4633207691
94,2631,2847,2656.18,59.7885803765
95,2631,2823,2658.97,61.6984283479
96,2631,2897,2676.81,75.2863483138
97,2631,2920,2690.03,86.1933995223
98,2631,2897,2702.95,88.300379788
99,2631,2921,2708.34,98.1620202635
100,2631,2903,2701.2,84.0962651857
101,2631,2833,2696.95,75.196627772
102,2631,2823,2670.92,56.7590476924
103,2631,2823,2666.01,52.2518174252
104,2593,2741,2651.9,37.9309580127
105,2593,2730,2646.94,33.6670627039
106,2593,2823,2656.71,46.5800700868
107,2483,2765,2651.56,45.1295150795
108,2483,2730,2644.38,36.9880625023
109,2483,2724,2636.82,31.6793850058
110,2483,2677,2632.36,17.5830037309
111,2483,2637,2630.66,16.694655287
112,2416,2637,2624.95,33.8768938865
113,2416,2637,2623.25,36.4276992511
114,2416,2631,2618.16,43.7873004051
115,2416,2631,2610.14,55.2253455207
116,2416,2631,2601.48,63.2157568901
117,2416,2631,2588.52,73.3117709347
118,2416,2631,2573.5,78.9797953961
119,2416,2631,2566.81,82.6409655795
120,2416,2631,2561.27,76.9703937573
121,2416,2631,2545.9,78.2582489924
122,2416,2631,2538.48,74.3004384342
123,2416,2631,2525.05,69.2492752396
124,2325,2593,2493.99,52.7005060064
125,2325,2491,2467.72,32.606338852
126,2325,2483,2459.33,39.0348342231
127,2325,2483,2449.55,42.4117324629
128,2325,2483,2437.78,46.0361254721
129,2325,2478,2423.08,40.5850348097
130,2325,2444,2405.36,29.491488243
131,2325,2416,2400.42,32.1370738424
132,2325,2416,2388.41,38.9288641582
133,2325,2416,2373.9,42.0645247498
134,2325,2416,2352.19,36.44802443
135,2325,2356,2327.17,7.94940439927
136,2325,2325,2325.0,0.0
137,2324,2325,2324.99,0.100000006502
138,2324,2325,2324.98,0.140705295506
139,2324,2325,2324.98,0.140705295506
140,2324,2325,2324.99,0.100000006502
141,2324,2325,2324.99,0.100000006502
142,2324,2325,2324.98,0.140705295506
143,2324,2325,2324.95,0.219042916306
144,2324,2325,2324.92,0.272659924609
145,2324,2325,2324.88,0.326598631486
146,2324,2325,2324.81,0.39427724422
147,2324,2325,2324.69,0.464823198556
148,2324,2325,2324.57,0.497569850649
149,2324,2325,2324.49,0.50241839509
150,2288,2325,2323.66,5.14284832456
151,2288,2325,2322.75,7.13983702386
152,2288,2325,2322.22,7.89140947076
153,2288,2324,2321.48,9.23156639917
154,2288,2324,2320.4,10.8544084048
155,2288,2324,2319.32,12.1679160836
156,2288,2324,2318.24,13.2643061704
157,2288,2324,2316.44,14.7369665066
158,2288,2324,2313.56,16.4177287766
159,2288,2324,2310.32,17.5619423237
160,2288,2324,2304.92,18.0580880897
161,2288,2324,2299.06,16.6131382838
162,2288,2324,2289.7,7.50151499858
163,2288,2288,2288.0,0.0
164,2288,2288,2288.0,0.0
165,2288,2288,2288.0,0.0
166,2288,2288,2288.0,0.0
167,2288,2288,2288.0,0.0
168,2288,2288,2288.0,0.0
169,2288,2288,2288.0,0.0
170,2288,2288,2288.0,0.0
171,2288,2288,2288.0,0.0
172,2288,2288,2288.0,0.0
173,2288,2288,2288.0,0.0
174,2288,2288,2288.0,0.0
175,2288,2398,2289.72,11.7963185492
176,2288,2288,2288.0,0.0
177,2288,2326,2288.9,5.2368160579
178,2288,2288,2288.0,0.0
179,2288,2398,2291.3,16.5593514731
180,2288,2314,2288.26,2.59999999979
181,2288,2522,2318.66,67.4339512247
182,2288,2470,2296.34,30.190044516
183,2288,2288,2288.0,0.0
184,2288,2288,2288.0,0.0
185,2288,2486,2316.56,66.032792588
186,2288,2473,2310.57,54.2117537295
187,2288,2473,2319.34,61.9301039703
188,2288,2473,2309.96,48.1713943365
189,2288,2398,2302.01,31.0306121256
190,2288,2468,2302.08,33.7593024965
191,2288,2376,2296.59,21.2949915864
192,2288,2486,2315.53,52.786678569
193,2288,2473,2308.73,38.1135610427
194,2288,2398,2305.89,31.4716145956
195,2288,2526,2324.44,64.3392711972
196,2288,2524,2327.99,64.3364726821
197,2288,2522,2337.68,75.9304413209
198,2288,2478,2328.61,64.515583428
199,2288,2526,2342.44,77.8635584685
200,2287,2524,2349.11,80.6216873096
