Generation,Min,Max,Avg,Std
0,4650,4650,4650.0,0.0
1,4126,4650,4635.43,61.0145296489
2,4126,4650,4601.78,104.912621652
3,4126,4650,4548.52,142.591348003
4,4126,4650,4477.19,136.726276357
5,4022,4533,4385.9,135.070464214
6,3667,4474,4286.67,148.92015724
7,3667,4303,4177.7,87.6229871597
8,3667,4191,4125.49,56.6300229114
9,3661,4126,4098.13,85.8804260339
10,3661,4126,4071.58,118.551372319
11,3661,4126,4018.24,149.171660319
12,3661,4118,3923.99,153.104275221
13,3661,4022,3832.11,166.600525967
14,3661,3950,3717.32,105.215688042
15,3661,3667,3663.76,3.00544959579
16,3628,3667,3660.97,3.58012188733
17,3615,3661,3659.88,6.4889649919
18,3615,3661,3658.43,9.5813950609
19,3615,3661,3657.32,11.2482366744
20,3615,3661,3654.09,14.6997526263
21,3615,3661,3649.15,17.4462377641
22,3615,3661,3639.34,18.6006516667
23,3142,3634,3618.54,48.4349861029
24,3142,3622,3606.65,72.3894315351
25,3142,3622,3591.86,100.155941038
26,3142,3615,3565.02,136.356631335
27,3142,3615,3533.9,162.946573633
28,3142,3615,3477.18,191.465553512
29,3111,3601,3355.2,192.384400552
30,3111,3342,3201.38,92.6230309296
31,3111,3142,3140.7,6.12248711594
32,3111,3142,3139.4,8.45905169363
33,3111,3142,3136.8,11.3778093434
34,3096,3142,3132.13,14.3883054365
35,3096,3142,3125.27,15.5270080762
36,3096,3136,3112.82,8.35255963913
37,3092,3111,3109.61,4.14118267395
38,3065,3111,3108.23,6.78360322599
39,3046,3111,3106.36,9.47673387028
40,3046,3111,3102.27,11.8063969991
41,2875,3105,3094.45,25.5015844229
42,2856,3096,3083.05,38.7799737447
43,2856,3096,3072.38,51.838283891
44,2856,3092,3052.01,66.9696893597
45,2856,3092,3023.89,72.9455165438
46,2856,3046,2980.78,70.5703431573
47,2856,2955,2920.8,44.2965215133
48,2856,2955,2892.58,42.7835000764
49,2765,2875,2860.98,13.1009907868
50,2765,2856,2854.18,12.8041817664
51,2765,2856,2852.36,17.9221210866
52,2765,2856,2848.72,24.8120531153
53,2765,2856,2841.44,33.5292183751
54,2765,2856,2832.34,40.1168042072
55,2765,2856,2809.53,45.6624539088
56,2759,2856,2769.43,19.700410189
57,2759,2765,2764.88,0.844231764475
58,2759,2765,2764.82,1.02867964794
59,2759,2765,2764.7,1.31425748135
60,2759,2765,2764.58,1.5385943999
61,2759,2765,2764.4,1.80906806747
62,2759,2765,2763.98,2.2651510085
63,2759,2765,2763.38,2.67717625992
64,2759,2765,2762.24,3.00544959579
65,2759,2765,2760.62,2.67717626015
66,2759,2759,2759.0,0.0
67,2759,2759,2759.0,0.0
68,2759,2759,2759.0,0.0
69,2759,2759,2759.0,0.0
70,2759,2759,2759.0,0.0
71,2759,2759,2759.0,0.0
72,2759,2759,2759.0,0.0
73,2759,2759,2759.0,0.0
74,2759,2759,2759.0,0.0
75,2759,2759,2759.0,0.0
76,2631,2759,2757.72,12.8
77,2631,2759,2756.44,18.0102776494
78,2631,2759,2756.44,18.0102776494
79,2631,2759,2757.72,12.8
80,2631,2759,2756.44,18.0102776494
81,2631,2759,2756.44,18.0102776494
82,2631,2759,2756.44,18.0102776494
83,2631,2759,2753.88,25.2091373526
84,2631,2759,2752.6,28.0374929354
85,2631,2759,2751.32,30.5514568417
86,2631,2759,2746.2,38.593452106
87,2631,2759,2738.52,47.1619774947
88,2631,2759,2725.72,56.4280322914
89,2631,2759,2706.34,63.1464899414
90,2631,2759,2678.0,61.6883663704
91,2631,2759,2638.07,27.8354671655
92,2631,2631,2631.0,0.0
93,2631,2631,2631.0,0.0
94,2631,2631,2631.0,0.0
95,2631,2631,2631.0,0.0
96,2631,2631,2631.0,0.0
97,2631,2631,2631.0,0.0
98,2631,2631,2631.0,0.0
99,2631,2631,2631.0,0.0
100,2631,2631,2631.0,0.0
101,2631,2631,2631.0,0.0
102,2631,2631,2631.0,0.0
103,2631,2631,2631.0,0.0
104,2631,2631,2631.0,0.0
105,2631,2631,2631.0,0.0
106,2631,2631,2631.0,0.0
107,2631,2631,2631.0,0.0
108,2631,2631,2631.0,0.0
109,2631,2631,2631.0,0.0
110,2631,2631,2631.0,0.0
111,2631,2631,2631.0,0.0
112,2631,2631,2631.0,0.0
113,2631,2631,2631.0,0.0
114,2631,2631,2631.0,0.0
115,2631,2631,2631.0,0.0
116,2631,2631,2631.0,0.0
117,2631,2631,2631.0,0.0
118,2631,2631,2631.0,0.0
119,2631,2631,2631.0,0.0
120,2631,2631,2631.0,0.0
121,2631,2631,2631.0,0.0
122,2631,2722,2632.03,9.12699957334
123,2631,2637,2631.42,1.5385943999
124,2631,2637,2631.24,1.18167831344
125,2631,2637,2631.3,1.31425748135
126,2631,2730,2633.54,13.685072602
127,2631,2637,2631.12,0.844231765189
128,2631,2806,2642.6,35.933721255
129,2631,2866,2663.76,65.5451297993
130,2631,2823,2675.64,68.4978094467
131,2631,2804,2665.04,52.2866844783
132,2631,2776,2664.6,49.0025767205
133,2631,2864,2675.02,61.5521426323
134,2631,2847,2693.08,71.3269155992
135,2631,2793,2677.33,53.7117362041
136,2631,2932,2696.45,84.5604648889
137,2631,2930,2713.57,97.0279825305
138,2631,2836,2695.66,70.0972225274
139,2631,2891,2711.16,77.3664662565
140,2631,3046,2743.25,117.660389136
141,2631,2945,2722.25,88.1290806061
142,2631,2893,2727.54,82.0784817825
143,2631,2874,2725.01,77.8240043725
144,2631,2949,2740.44,86.5783139386
145,2631,2927,2743.5,90.4870658763
146,2631,2921,2740.68,93.452184068
147,2631,2907,2728.26,87.7963230633
148,2631,2932,2751.67,97.1091289699
149,2631,2869,2729.02,82.4904010333
150,2631,2851,2723.77,79.8385814685
151,2631,2832,2701.37,65.6065183692
152,2597,2747,2676.85,47.0935829552
153,2597,2741,2672.48,46.1426159868
154,2585,2741,2657.81,39.6216181681
155,2585,2724,2648.22,32.5180851002
156,2585,2677,2633.12,15.8778671952
157,2585,2637,2628.5,12.9626503089
158,2585,2637,2628.7,12.3758480987
159,2585,2637,2627.72,13.4014020072
160,2585,2637,2625.76,15.3971793297
161,2585,2637,2625.57,14.9005152104
162,2568,2755,2629.42,26.7714532118
163,2568,2724,2626.91,22.1578793246
164,2568,2690,2625.55,18.1321607241
165,2568,2724,2630.39,23.8110809448
166,2568,2690,2625.46,19.6368135003
167,2568,2735,2631.38,31.9803538177
168,2568,2870,2653.53,65.6215742733
169,2568,2830,2658.79,64.779079894
170,2568,2806,2650.87,51.6889795417
171,2568,2735,2634.45,35.8088006225
172,2568,2693,2626.19,20.4710660556
