Generation,pm,pm0,deviation,best_fitness
0,0.2,0.2,0.0,4650
1,0.201,0.2,0.160910388877,3773
2,0.202,0.2,0.155490108434,3722
3,0.203,0.2,0.166515588901,3586
4,0.204,0.2,0.190508397618,3423
5,0.203,0.2,0.276948989413,3005
6,0.202,0.2,0.278069406239,3005
7,0.201,0.2,0.277493513808,3002
8,0.2,0.2,0.258270946063,3002
9,0.199,0.2,0.266140269392,3002
10,0.198,0.2,0.269232548119,3002
11,0.197,0.2,0.269092896014,2983
12,0.196,0.2,0.278332645682,2956
13,0.195,0.2,0.274139882772,2956
14,0.194,0.2,0.270319839846,2956
15,0.193,0.2,0.261426526181,2956
16,0.192,0.2,0.263509591068,2956
17,0.191,0.2,0.302162612227,2858
18,0.19,0.2,0.28988496037,2858
19,0.189,0.2,0.295312769682,2858
20,0.188,0.2,0.289501880657,2858
21,0.187,0.2,0.281046080469,2858
22,0.186,0.2,0.295364891519,2858
23,0.185,0.2,0.295005093823,2858
24,0.184,0.2,0.285142571286,2858
25,0.183,0.2,0.285553583481,2858
26,0.182,0.2,0.26942366781,2858
27,0.181,0.2,0.283989217248,2858
28,0.18,0.2,0.277448975206,2858
29,0.179,0.2,0.29623245506,2858
30,0.178,0.2,0.2806027029,2858
31,0.177,0.2,0.282878922462,2858
32,0.176,0.2,0.32617899684,2661
33,0.175,0.2,0.326526893368,2661
34,0.174,0.2,0.335243581641,2661
35,0.173,0.2,0.331260853503,2661
36,0.172,0.2,0.328650792449,2661
37,0.171,0.2,0.326088553129,2661
38,0.17,0.2,0.323165985848,2661
39,0.169,0.2,0.322203995965,2661
40,0.168,0.2,0.315438520668,2661
41,0.167,0.2,0.311381739324,2661
42,0.166,0.2,0.307229699826,2661
43,0.165,0.2,0.302696711066,2661
44,0.164,0.2,0.310811020808,2661
45,0.163,0.2,0.298355710715,2661
46,0.162,0.2,0.292458474146,2661
47,0.161,0.2,0.312525673717,2661
48,0.16,0.2,0.304286442606,2661
49,0.159,0.2,0.298259493671,2661
50,0.158,0.2,0.304564627664,2661
51,0.157,0.2,0.303259050956,2661
52,0.156,0.2,0.29230417357,2661
53,0.155,0.2,0.299379156727,2661
54,0.154,0.2,0.289556940903,2661
55,0.153,0.2,0.297245763271,2661
56,0.152,0.2,0.290074380783,2661
57,0.151,0.2,0.283068177226,2661
58,0.15,0.2,0.286206702307,2661
59,0.149,0.2,0.270529215839,2661
60,0.148,0.2,0.263635608933,2661
61,0.147,0.2,0.265442680513,2661
62,0.146,0.2,0.266833082607,2661
63,0.145,0.2,0.259459218773,2661
64,0.144,0.2,0.261979315452,2661
65,0.143,0.2,0.291228473459,2590
66,0.142,0.2,0.288576851554,2590
67,0.141,0.2,0.287545525566,2590
68,0.14,0.2,0.284571889476,2590
69,0.139,0.2,0.290315686215,2590
70,0.138,0.2,0.305538797322,2590
71,0.137,0.2,0.295652079322,2590
72,0.136,0.2,0.292009272218,2590
73,0.135,0.2,0.283507108218,2590
74,0.134,0.2,0.273545267386,2590
75,0.133,0.2,0.279396585063,2590
76,0.132,0.2,0.269189421023,2590
77,0.131,0.2,0.2625998622,2590
78,0.13,0.2,0.263015320176,2590
79,0.129,0.2,0.259911189343,2590
80,0.128,0.2,0.269051234146,2590
81,0.127,0.2,0.273655280722,2590
82,0.126,0.2,0.262797158211,2590
83,0.125,0.2,0.262286910577,2590
84,0.124,0.2,0.257449870699,2590
85,0.123,0.2,0.246893800395,2590
86,0.122,0.2,0.233995232434,2590
87,0.121,0.2,0.25791315831,2540
88,0.12,0.2,0.26648282188,2495
89,0.119,0.2,0.271902741381,2495
90,0.118,0.2,0.261886729936,2495
91,0.117,0.2,0.260539252197,2482
92,0.116,0.2,0.27353829583,2482
93,0.115,0.2,0.264191440667,2482
94,0.114,0.2,0.256030885809,2482
95,0.113,0.2,0.279490464379,2379
96,0.112,0.2,0.281171156199,2379
97,0.111,0.2,0.271445502347,2379
98,0.11,0.2,0.270545236007,2379
99,0.109,0.2,0.276576464256,2379
100,0.108,0.2,0.271951622578,2379
101,0.107,0.2,0.276239732279,2379
102,0.106,0.2,0.294301910635,2379
103,0.105,0.2,0.281772292532,2379
104,0.104,0.2,0.275880646624,2379
105,0.103,0.2,0.268479427329,2379
106,0.102,0.2,0.273663192218,2379
107,0.101,0.2,0.275640322993,2379
108,0.1,0.2,0.278544351782,2379
109,0.099,0.2,0.282413551797,2379
110,0.098,0.2,0.29038133599,2322
111,0.097,0.2,0.281232491263,2322
112,0.096,0.2,0.287845841014,2322
113,0.095,0.2,0.292567079691,2322
114,0.094,0.2,0.304881991594,2322
115,0.093,0.2,0.287601130266,2322
116,0.092,0.2,0.290372661316,2322
117,0.091,0.2,0.282261155553,2322
118,0.09,0.2,0.283401896732,2322
119,0.089,0.2,0.275728482399,2322
120,0.088,0.2,0.276905829596,2322
121,0.087,0.2,0.27095532482,2322
122,0.086,0.2,0.265036368355,2322
123,0.085,0.2,0.26150675521,2322
124,0.084,0.2,0.264174620679,2322
125,0.083,0.2,0.260982619406,2322
126,0.082,0.2,0.24278740327,2322
127,0.081,0.2,0.242846661775,2322
128,0.08,0.2,0.249386611152,2322
129,0.079,0.2,0.230825289351,2322
130,0.078,0.2,0.221755975922,2322
131,0.077,0.2,0.220822281167,2303
132,0.076,0.2,0.213206380442,2303
133,0.075,0.2,0.203139002592,2303
134,0.074,0.2,0.218426536167,2303
135,0.073,0.2,0.203833216369,2303
136,0.072,0.2,0.208149476007,2297
137,0.073,0.2,0.190724155668,2297
138,0.074,0.2,0.186218258251,2292
139,0.075,0.2,0.198388382927,2292
140,0.076,0.2,0.191562907834,2292
141,0.077,0.2,0.187550955301,2292
142,0.078,0.2,0.199762582267,2292
143,0.079,0.2,0.181133194474,2292
144,0.08,0.2,0.180363043385,2292
145,0.081,0.2,0.182199640339,2292
146,0.082,0.2,0.162256206322,2292
147,0.083,0.2,0.168891662072,2291
148,0.084,0.2,0.170172935376,2274
149,0.085,0.2,0.157837041097,2274
150,0.086,0.2,0.177711559204,2249
151,0.087,0.2,0.184790488618,2249
152,0.086,0.2,0.201304051367,2249
153,0.085,0.2,0.200838604221,2249
154,0.086,0.2,0.190812554534,2235
155,0.087,0.2,0.19405266449,2204
156,0.088,0.2,0.193855157279,2204
157,0.089,0.2,0.184374329255,2204
158,0.09,0.2,0.182456192412,2204
159,0.091,0.2,0.177648761996,2204
160,0.092,0.2,0.173894465393,2204
161,0.093,0.2,0.187270682376,2204
162,0.094,0.2,0.184682085201,2204
163,0.095,0.2,0.19028340081,2204
164,0.096,0.2,0.199895449133,2204
165,0.095,0.2,0.201807883415,2204
166,0.096,0.2,0.184437709765,2204
167,0.097,0.2,0.188422874397,2204
168,0.096,0.2,0.201614159395,2204
169,0.097,0.2,0.194624005613,2204
170,0.096,0.2,0.206100490964,2204
171,0.095,0.2,0.214559864864,2204
172,0.094,0.2,0.21984234019,2204
173,0.093,0.2,0.23180682242,2204
174,0.092,0.2,0.209902743473,2204
175,0.091,0.2,0.214666215325,2204
176,0.09,0.2,0.219894806142,2204
177,0.089,0.2,0.219753960527,2204
178,0.088,0.2,0.211511079629,2204
179,0.089,0.2,0.197489058324,2204
