Generation,pm,pm0
0,0.01,0.01
1,0.009,0.01
2,0.008,0.01
3,0.007,0.01
4,0.006,0.01
5,0.005,0.01
6,0.004,0.01
7,0.003,0.01
8,0.002,0.01
9,0.001,0.011
10,0.001,0.012
11,0.001,0.013
12,0.001,0.014
13,0.001,0.015
14,0.001,0.016
15,0.002,0.016
16,0.003,0.016
17,0.004,0.016
18,0.005,0.016
19,0.006,0.016
20,0.007,0.016
21,0.008,0.016
22,0.009,0.016
23,0.008,0.016
24,0.007,0.016
25,0.006,0.016
26,0.005,0.016
27,0.004,0.016
28,0.003,0.016
29,0.002,0.016
30,0.001,0.017
31,0.002,0.017
32,0.003,0.017
33,0.004,0.017
34,0.005,0.017
35,0.006,0.017
36,0.007,0.017
37,0.008,0.017
38,0.009,0.017
39,0.008,0.017
40,0.007,0.017
41,0.006,0.017
42,0.005,0.017
43,0.004,0.017
44,0.003,0.017
45,0.002,0.017
46,0.001,0.018
47,0.001,0.019
48,0.002,0.019
49,0.001,0.02
50,0.001,0.021
51,0.001,0.022
52,0.001,0.023
53,0.001,0.024
54,0.002,0.024
55,0.003,0.024
56,0.004,0.024
57,0.005,0.024
58,0.006,0.024
59,0.007,0.024
60,0.008,0.024
61,0.009,0.024
62,0.01,0.024
63,0.011,0.024
64,0.012,0.024
65,0.013,0.024
66,0.014,0.024
67,0.015,0.024
68,0.016,0.024
69,0.017,0.024
70,0.018,0.024
71,0.019,0.024
72,0.02,0.024
73,0.021,0.024
74,0.022,0.024
75,0.023,0.024
76,0.022,0.024
77,0.021,0.024
78,0.02,0.024
79,0.019,0.024
80,0.018,0.024
81,0.017,0.024
82,0.016,0.024
83,0.015,0.024
84,0.014,0.024
85,0.013,0.024
86,0.012,0.024
87,0.011,0.024
88,0.01,0.024
89,0.009,0.024
90,0.01,0.024
91,0.011,0.024
92,0.012,0.024
93,0.013,0.024
94,0.014,0.024
95,0.015,0.024
96,0.016,0.024
97,0.017,0.024
98,0.018,0.024
99,0.019,0.024
100,0.02,0.024
101,0.021,0.024
102,0.022,0.024
103,0.023,0.024
104,0.024,0.024
105,0.025,0.024
106,0.026,0.024
107,0.027,0.024
108,0.028,0.024
109,0.029,0.024
110,0.03,0.024
111,0.031,0.024
112,0.032,0.024
113,0.033,0.024
114,0.034,0.024
115,0.035,0.024
116,0.036,0.024
117,0.037,0.024
118,0.038,0.024
119,0.039,0.024
120,0.04,0.024
121,0.041,0.024
122,0.042,0.024
123,0.043,0.024
124,0.044,0.024
125,0.045,0.024
126,0.046,0.024
127,0.047,0.024
128,0.048,0.024
129,0.049,0.024
130,0.05,0.024
131,0.051,0.024
132,0.052,0.024
133,0.053,0.024
134,0.054,0.024
135,0.055,0.024
136,0.054,0.024
137,0.053,0.024
138,0.054,0.024
139,0.053,0.024
140,0.052,0.024
141,0.051,0.024
142,0.05,0.024
143,0.049,0.024
144,0.048,0.024
145,0.047,0.024
146,0.046,0.024
147,0.045,0.024
148,0.044,0.024
149,0.043,0.024
150,0.042,0.024
151,0.041,0.024
152,0.04,0.024
153,0.039,0.024
154,0.038,0.024
155,0.039,0.024
156,0.04,0.024
157,0.041,0.024
158,0.042,0.024
159,0.043,0.024
160,0.044,0.024
161,0.045,0.024
162,0.046,0.024
163,0.047,0.024
164,0.048,0.024
165,0.049,0.024
166,0.05,0.024
167,0.049,0.024
168,0.048,0.024
169,0.047,0.024
170,0.046,0.024
171,0.045,0.024
172,0.046,0.024
173,0.047,0.024
174,0.048,0.024
175,0.049,0.024
176,0.05,0.024
177,0.049,0.024
178,0.048,0.024
179,0.047,0.024
180,0.046,0.024
181,0.045,0.024
182,0.044,0.024
183,0.043,0.024
184,0.042,0.024
185,0.041,0.024
186,0.04,0.024
187,0.039,0.024
188,0.038,0.024
189,0.037,0.024
190,0.036,0.024
191,0.035,0.024
192,0.034,0.024
193,0.033,0.024
194,0.032,0.024
195,0.031,0.024
196,0.03,0.024
197,0.029,0.024
198,0.028,0.024
199,0.027,0.024
200,0.026,0.024
